id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,126908,5697,117972,538,35,2,1636473600,72,0,38,0,20,-1,9809,117099,15,57,15,57,3239,34,1
2,oversea,251962645,5081724,228031884,None,None,None,1636473600,543712,None,467870,9035,None,None,None,None,None,None,None,None,18849037,66807,None
