id,date,confirmed,unconfirmed,cured,died,curConfirmRelative,unconfirmedRelative,cureRelative,diedRelative,overseasInput,overseasInputRelative
1,2021-09-12,123544,3,115512,5687,66,0,43,0,8645,27
2,2021-09-13,123642,0,115549,5688,98,0,37,1,8678,33
3,2021-09-14,123722,1,115599,5688,80,1,50,0,8701,23
4,2021-09-15,123808,0,115643,5688,86,0,44,0,8732,31
5,2021-09-16,123904,2,115692,5688,96,2,49,0,8754,22
6,2021-09-17,123961,1,115746,5688,57,0,54,0,8769,15
7,2021-09-18,124038,1,115800,5688,77,0,54,0,8792,23
8,2021-09-19,124102,3,115837,5689,64,2,37,1,8813,21
9,2021-09-20,124185,4,115873,5689,83,2,36,0,8843,30
10,2021-09-21,124232,4,115914,5689,47,2,41,0,8868,25
11,2021-09-22,124283,4,115956,5690,51,2,42,1,8883,15
12,2021-09-23,124348,2,115995,5690,65,1,39,0,8907,24
13,2021-09-24,124403,4,116023,5690,55,2,28,0,8935,28
14,2021-09-25,124447,4,116062,5690,44,0,39,0,8955,20
15,2021-09-26,124498,2,116099,5690,51,0,37,0,8977,22
16,2021-09-27,124542,1,116165,5691,44,0,66,1,8995,18
17,2021-09-28,124591,0,116227,5691,49,0,62,0,9009,14
18,2021-09-29,124629,1,116294,5691,38,1,67,0,9025,16
19,2021-09-30,124673,2,116344,5691,44,2,50,0,9049,24
20,2021-10-01,124729,0,116389,5692,56,0,45,1,9088,39
21,2021-10-02,124772,0,116442,5692,43,0,53,0,9114,26
22,2021-10-03,124805,0,116491,5692,33,0,49,0,9140,26
23,2021-10-04,124843,1,116524,5693,38,1,33,1,9166,26
24,2021-10-05,124884,1,116573,5693,41,0,49,0,9190,24
25,2021-10-06,124920,2,116630,5693,36,1,57,0,9215,25
26,2021-10-07,124954,2,116683,5693,34,0,53,0,9237,22
27,2021-10-08,124987,2,116723,5694,33,1,40,1,9254,17
28,2021-10-09,125023,1,116783,5695,36,0,60,1,9278,24
29,2021-10-10,125055,1,116827,5695,32,0,44,0,9303,25
30,2021-10-11,125085,1,116889,5695,30,0,62,0,9315,25
31,2021-10-12,125115,2,116938,5695,30,1,49,0,9337,22
32,2021-10-13,125143,2,116980,5695,28,0,42,0,9357,20
33,2021-10-14,125162,2,117075,5695,19,1,95,0,9367,10
34,2021-10-15,125189,2,117133,5695,27,0,58,0,9381,14
35,2021-10-16,125226,1,117164,5695,37,0,31,0,9400,19
36,2021-10-17,125254,1,117194,5695,28,0,30,0,9422,22
37,2021-10-18,125284,2,117223,5695,30,1,29,0,9438,16
38,2021-10-19,125322,2,117266,5695,38,0,43,0,9451,13
39,2021-10-20,125351,1,117305,5695,29,0,39,0,9459,8
40,2021-10-21,125402,1,117325,5695,51,0,20,0,9474,15
41,2021-10-22,125462,2,117350,5695,60,1,25,0,9486,12
42,2021-10-23,125518,2,117382,5695,56,0,32,0,9503,17
43,2021-10-24,125565,3,117415,5695,47,1,33,0,9507,4
44,2021-10-25,125620,4,117432,5696,55,1,17,1,9521,14
45,2021-10-26,125686,4,117457,5696,66,0,25,0,9530,9
46,2021-10-27,125738,4,117484,5696,52,0,27,0,9546,16
47,2021-10-28,125810,3,117512,5696,72,1,28,0,9562,16
48,2021-10-29,125898,3,117528,5696,88,0,16,0,9581,19
49,2021-10-30,125979,6,117550,5696,81,3,22,0,9604,23
50,2021-10-31,126078,5,117587,5696,99,1,37,0,9637,33
51,2021-11-01,126155,3,117615,5696,77,2,28,0,9654,17
52,2021-11-02,126270,3,117638,5696,115,1,23,0,9670,16
53,2021-11-03,126384,4,117662,5696,114,3,24,0,9687,17
54,2021-11-04,126471,4,117692,5696,87,1,30,0,9697,10
55,2021-11-05,126534,1,117735,5696,63,0,43,0,9712,15
56,2021-11-06,126616,3,117782,5696,82,2,47,0,9736,24
57,2021-11-07,126710,1,117838,5696,94,0,56,0,9760,24
58,2021-11-08,126775,1,117880,5696,65,0,42,0,9779,19
59,2021-11-09,126836,2,117934,5697,61,1,54,1,9794,15
60,2021-11-10,126908,2,117972,5697,72,0,38,0,9809,15
