id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,1,0,0,100.0%,0,0,0.0%,0,1
2,韩国,602045,6231,489943,106926,-10491,81.4%,16666,5176,0.9%,56,1
3,帕劳共和国,8,0,8,0,0,100.0%,0,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,3,0,3,0,0,100.0%,0,0,0.0%,0,1
7,瓦努阿图共和国,7,0,6,0,0,85.7%,0,1,14.3%,0,1
8,马尔维纳斯群岛,83,0,68,15,0,81.9%,0,0,0.0%,0,1
9,马绍尔群岛,4,0,4,0,0,100.0%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
11,所罗门群岛,20,0,20,0,0,100.0%,0,0,0.0%,0,1
12,莱索托,27595,0,14803,12127,0,53.6%,0,665,2.4%,0,1
13,科摩罗,5479,213,4434,892,207,80.9%,5,153,2.8%,1,1
14,塔吉克斯坦,17095,0,16966,5,0,99.2%,0,124,0.7%,0,1
15,海峡群岛,23627,312,20939,2576,158,88.6%,154,112,0.5%,0,1
16,阿拉伯联合酋长国,749530,0,740707,6667,0,98.8%,0,2156,0.3%,0,1
17,也门,10109,0,7002,1125,0,69.3%,0,1982,19.6%,0,1
18,圣皮埃尔,98,2,78,20,0,79.6%,4,0,0.0%,0,1
19,圣多美和普林西比,3744,4,3676,11,4,98.2%,0,57,1.5%,0,1
20,南苏丹,14577,273,12717,1725,261,87.2%,10,135,0.9%,2,1
21,马拉维,69735,1192,59557,7856,936,85.4%,254,2322,3.3%,2,1
22,布隆迪,23657,648,773,22846,648,3.3%,0,38,0.2%,0,1
23,塞拉利昂,6659,37,4393,2143,35,66.0%,0,123,1.8%,2,1
24,博茨瓦纳,208994,4293,195479,11088,2266,93.5%,2025,2427,1.2%,2,1
25,百慕大,6014,97,5674,234,82,94.3%,15,106,1.8%,0,1
26,英属维尔京群岛,3016,130,2649,328,130,87.8%,0,39,1.3%,0,1
27,安圭拉,1646,0,1605,36,0,97.5%,0,5,0.3%,0,1
28,格林纳达,5956,15,5681,75,15,95.4%,0,200,3.4%,0,1
29,圣基茨和尼维斯,2822,0,2771,23,0,98.2%,0,28,1.0%,0,1
30,特克斯和凯科斯群岛,3235,11,3107,102,8,96.0%,3,26,0.8%,0,1
31,几内亚比绍,6462,0,6297,16,0,97.4%,3,149,2.3%,0,1
32,马里,19866,205,17192,2022,0,86.5%,292,652,3.3%,4,1
33,利比亚,384663,658,372884,6138,104,96.9%,548,5641,1.5%,6,1
34,老挝,104373,0,7339,96729,0,7.0%,0,305,0.3%,0,1
35,伯利兹,31503,57,30415,496,18,96.5%,38,592,1.9%,1,1
36,缅甸,529327,213,506764,3315,0,95.7%,250,19248,3.6%,6,1
37,多米尼克,6520,0,6173,303,0,94.7%,0,44,0.7%,0,1
38,莫桑比克,170077,2445,151290,16822,2426,89.0%,18,1965,1.2%,1,1
39,叙利亚,50007,50,31671,15469,0,63.3%,95,2867,5.7%,4,1
40,马恩岛,13425,37,12605,753,8,93.9%,29,67,0.5%,0,1
41,巴布亚新几内亚,36110,51,35374,147,0,98.0%,73,589,1.6%,0,1
