id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,83913769,70604,81243883,1427923,96.8%,1241963,1.5%
2,欧洲,83079427,524611,72536751,9035652,87.3%,1507024,1.8%
3,非洲,9511451,60861,8524070,759874,89.6%,227507,2.4%
4,大洋洲,454631,9741,374065,76119,82.3%,4447,1.0%
5,北美洲,62964740,306224,49681064,12048911,78.9%,1234765,2.0%
6,南美洲,39434391,24105,37392454,851539,94.8%,1190398,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
