id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,130427,5699,120363,492,24,10,1640275200,216,6,127,0,9,0,10846,119530,53,112,4365,52,1
2,oversea,279359121,5406117,249752986,None,None,None,1640275200,996146,None,547225,6979,None,None,None,None,None,None,24200018,441942,None
