id,date,curConfirm,confirmed,cured,died,curConfirmRelative,overseasInputRelative
1,2021-11-20,3161,127463,118660,5697,24,13
2,2021-11-21,3115,127512,118752,5697,49,31
3,2021-11-22,3066,127537,118820,5697,25,14
4,2021-11-23,3020,127572,118892,5697,35,18
5,2021-11-24,2969,127602,118962,5697,30,22
6,2021-11-25,2943,127631,119031,5697,29,9
7,2021-11-26,2891,127672,119110,5697,41,20
8,2021-11-27,2870,127710,119159,5697,38,20
9,2021-11-28,2854,127764,119201,5697,54,20
10,2021-11-29,2867,127814,119238,5697,50,18
11,2021-11-30,2874,127938,119275,5697,124,22
12,2021-12-01,2974,128022,119314,5697,84,20
13,2021-12-02,3012,128141,119347,5697,119,16
14,2021-12-03,3097,128245,119398,5697,104,15
15,2021-12-04,3168,128319,119437,5697,74,17
16,2021-12-05,3185,128393,119475,5697,74,23
17,2021-12-06,3257,128502,119524,5697,109,34
18,2021-12-07,3324,128602,119574,5697,100,30
19,2021-12-08,3361,128690,119602,5697,88,23
20,2021-12-09,3363,128776,119634,5697,86,26
21,2021-12-10,3467,128884,119674,5697,108,36
22,2021-12-11,3530,128970,119704,5697,86,26
23,2021-12-12,3576,129082,119750,5697,112,21
24,2021-12-13,3635,129165,119781,5697,83,25
25,2021-12-14,3715,129247,119826,5697,82,17
26,2021-12-15,3765,129332,119857,5698,85,8
27,2021-12-16,3778,129430,119883,5698,98,20
28,2021-12-17,3851,129577,119916,5698,147,36
29,2021-12-18,3963,129678,119964,5698,101,39
30,2021-12-19,4036,129794,120017,5699,116,65
31,2021-12-20,4097,129893,120066,5699,99,24
32,2021-12-21,4149,129988,120146,5699,95,20
33,2021-12-22,4171,130109,120188,5699,121,29
34,2021-12-23,4268,130211,120249,5699,102,32
35,2021-12-24,4289,130376,120362,5699,165,53
36,2021-12-25,4365,130625,120438,5699,249,48
37,2021-12-26,4527,130858,120491,5699,233,38
38,2021-12-27,4663,131093,120583,5699,235,27
39,2021-12-28,4841,131315,120640,5699,222,45
40,2021-12-29,4990,131550,120701,5699,235,51
41,2021-12-30,5186,131586,120701,5699,174,51
42,2021-12-31,5364,131821,120758,5699,198,28
43,2022-01-01,5591,132115,120825,5699,222,56
44,2022-01-02,5754,132350,120897,5699,163,60
45,2022-01-03,5861,132504,120944,5699,126,60
