id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,94843591,674264,87566529,6003099,92.3%,1273963,1.3%
2,欧洲,113856584,1240402,86456616,25806870,75.9%,1593098,1.4%
3,非洲,10749930,32343,9531059,982053,88.7%,236818,2.2%
4,大洋洲,2416256,52321,1316103,1094650,54.5%,5503,0.2%
5,北美洲,84288457,431760,54576430,28417133,64.7%,1294894,1.5%
6,南美洲,45832712,417876,40251871,4376121,87.8%,1204720,2.6%
7,其他,712,0,699,0,98.2%,13,1.8%
