id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,300941,7043,137402,1500,166,11,1646323200,31803,5,614,188,14,-4,15189,285662,179,31534,156496,30911,1
2,oversea,443748202,6004926,377023742,None,None,None,1646323200,1714581,None,1836003,8526,None,None,None,None,None,None,60719534,-129948,None
