id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,129813,5699,120017,511,33,4,1639843200,135,1,58,1,5,-1,10688,119106,65,51,65,51,4097,62,1
2,oversea,275004775,5367117,246785120,None,None,None,1639843200,554958,None,391822,4996,None,None,None,None,None,None,None,None,22852538,158140,None
