id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,136653,5700,124185,778,43,4,1642694400,142,0,206,0,12,0,12313,124340,40,102,6768,-54,1
2,oversea,346689905,5597227,276434303,None,None,None,1642694400,3782808,None,1801459,9571,None,None,None,None,None,None,64658375,1971778,None
