id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,93515815,714934,86591335,5652966,92.6%,1271514,1.4%
2,欧洲,111542060,1634175,85218969,24734095,76.4%,1588996,1.4%
3,非洲,10691845,31117,9468731,986910,88.6%,236204,2.2%
4,大洋洲,2267238,69166,1057326,1204586,46.6%,5326,0.2%
5,北美洲,83542497,867879,54195080,28055265,64.9%,1292152,1.5%
6,南美洲,45129738,436935,39902163,4024553,88.4%,1203022,2.7%
7,其他,712,0,699,0,98.2%,13,1.8%
