id,content,count
1,疫情,382
2,西安,281
3,防控,189
4,天津,129
5,核酸检测,124
6,小区,117
7,确诊病例,113
8,人员,113
9,社区,108
10,学校,105
11,20日,97
12,新增,95
13,工作,94
14,陕西,85
15,北京,83
16,报告,83
17,隔离,82
18,核酸,81
19,调整,73
20,恢复,67
21,措施,67
22,时间,67
23,2022年,65
24,楼,64
25,市,63
26,病例,63
27,生活,63
28,地区,62
29,本土,62
30,阳性,62
31,西安市,61
32,大学,59
33,防疫,57
34,校区,57
35,新冠肺炎,56
36,雁塔,55
37,累计,55
38,风险,54
39,小时,53
40,国际,51
41,情况,51
42,服务,51
43,信息,51
44,发现,49
45,封控区,48
46,区域,47
47,感染者,46
48,做好,46
49,发布,45
50,部门,45
51,雁塔区,44
52,学院,44
53,期间,44
54,群众,44
55,记者,44
56,管控区,43
57,落实,43
58,奥密克戎,43
59,医院,43
60,境外输入,43
61,证明,42
62,管控,41
63,生产,41
64,河南,41
65,学生,41
66,食品,40
67,抗疫,39
68,市民,39
69,春节,38
70,相关,37
71,管理,37
72,出院,37
73,无症状感染者,36
74,有序,36
75,返家,36
76,区,35
77,][,35
78,检测,35
79,口罩,35
80,电话,34
81,感染,34
82,春运,33
83,医学,33
84,健康,32
85,轮,31
86,活动,31
87,阴性,31
88,旅客,31
89,政策,30
90,出行,30
91,新冠,30
92,加油,30
93,希望,29
94,关注,29
95,48,29
96,包括,28
97,单元,28
98,公共,28
99,卫生,28
100,保障,28
101,回家,28
102,2021年,28
103,确诊,28
104,病毒,28
105,培训,28
106,单位,28
107,街道,27
108,新闻,27
109,送,27
110,症状,27
111,观察,27
112,吃,27
113,检查,26
114,实时,26
115,形势,26
116,通告,26
117,中心,26
118,四,26
119,离校,26
120,责任,26
121,咸阳,26
122,岁,25
123,密切接触者,25
124,返乡,25
125,企业,25
126,天津市,25
127,影响,24
128,中国,24
129,过年,24
130,常态化,24
131,视频,24
132,45,24
133,市场,24
134,清零,23
135,专家,23
136,工作人员,23
137,持续,23
138,国家,23
139,查验,23
140,实施,23
141,解封,23
142,居民,23
143,系统,23
144,交通,22
145,明德,22
146,诊断,22
147,治愈,22
148,大中专,22
149,曲江,22
150,美国,22
151,指挥部,21
152,调查,21
153,配合,21
154,约翰逊,21
155,治疗,21
156,减少,21
157,晚上,21
158,职业,21
159,发布会,21
160,机场,21
161,运行,21
162,公司,20
163,迎战,20
164,第四,20
165,秩序,20
166,绿码,20
167,技工,20
168,临床,20
169,场馆,20
170,号,19
171,筛查,19
172,组织,19
173,郑州,19
174,全市,19
175,报道,19
176,现有,19
177,提前,19
178,营业,19
179,辖区,19
180,全球,19
181,提醒,19
182,爱,19
183,天气,19
184,食物,19
185,长丰园社区,18
186,华城,18
187,放假,18
188,民警,18
189,结束,18
190,流调,18
191,采样,18
192,每日,18
193,家庭,18
194,提示,18
195,建设,18
196,疑似病例,18
197,当日,18
198,赞],18
199,航站楼,18
200,戴,18
201,男子,18
202,流程,17
203,流行病学,17
204,解除,17
205,各项,17
206,冬奥会,17
207,一码通,17
208,文化,17
209,购买,17
210,控制,17
211,定点,17
212,身份证,17
213,4号,16
214,显示,16
215,咨询,16
216,朋友,16
217,志愿者,16
218,计划,16
219,预防,16
220,网络,16
221,补习,16
222,城乡,16
223,大筛,16
224,食用,16
225,地址,16
226,公寓,15
227,8号,15
228,这是,15
229,研判,15
230,全员,15
231,近日,15
232,日记,15
233,重点,15
234,1例,15
235,闭环,15
236,场所,15
237,严峻,15
238,内容,15
239,接触,15
240,消息,15
241,在家,15
242,24时,15
243,新疆,15
244,高新区,15
245,综合,15
246,登记,15
247,扫码,15
248,确保,15
249,表现,15
250,力量,15
251,京,15
252,来源,15
253,谢谢,15
254,河西区,15
255,封闭,14
256,零时,14
257,世家,14
258,星城,14
259,↓↓,14
260,津南,14
261,防护,14
262,价格,14
263,广东,14
264,死亡病例,14
265,办理,14
266,陕西省,14
267,走,14
268,提供,14
269,辛苦,14
270,1.,14
271,技术,14
272,拜登,14
273,社会,14
274,就医,14
275,医护,14
276,患者,14
277,机构,14
278,需求,14
279,默克尔,14
280,电视塔,13
281,方案,13
282,封控,13
283,条件,13
284,津南区,13
285,行程卡,13
286,开启,13
287,境外,13
288,新冠病毒,13
289,疾病,13
290,通报,13
291,测温,13
292,主体,13
293,监测,13
294,铁路,13
295,教育,13
296,本轮,13
297,恶意,13
298,各类,13
299,健康码,13
300,高风险,13
301,采集,13
302,生育,13
303,村,12
304,蓝山,12
305,潘家庄,12
306,门北,12
307,10号,12
308,全国,12
309,名单,12
310,最新,12
311,人民,12
312,身边,12
313,酒店,12
314,早日,12
315,陆续,12
316,城市,12
317,接受,12
318,自治区,12
319,直辖市,12
320,兵团,12
321,转为,12
322,丰台区,12
323,重症病例,12
324,收到,12
325,前往,12
326,业务,12
327,聚集,12
328,项目,12
329,排队,12
330,院校,12
331,寒假,12
332,师生,12
333,评估,12
334,处置,12
335,科技,12
336,中学,12
337,艺术,12
338,有限,12
339,零,12
340,微博,12
341,困难,12
342,家人,12
343,学,12
344,直播,12
345,违法,12
346,公布,12
347,手机,12
348,出示,12
349,感谢,12
350,转归,12
351,选手,12
352,线路,12
353,乘务员,12
354,白天,12
355,予以,11
356,星号,11
357,一线,11
358,传播,11
359,现场,11
360,超市,11
361,原因,11
362,提问,11
363,媒体,11
364,进出,11
365,原则,11
366,快递,11
367,实行,11
368,商场,11
369,今日,11
370,安排,11
371,应急,11
372,长安,11
373,市政府,11
374,生日,11
375,冠状,11
376,发热,11
377,[泪,11
378,疾控,11
379,雪,11
380,扫描,11
381,堂食,11
382,亚运会,11
383,车辆,10
384,通行,10
385,物资,10
386,转需,10
387,指南,10
388,长安区,10
389,下楼,10
390,轻型,10
391,轨迹,10
392,保护,10
393,安阳,10
394,增加,10
395,公安局,10
396,精华,10
397,医疗,10
398,回答,10
399,产品,10
400,标准,10
401,洗手,10
402,2例,10
403,含,10
404,经济,10
405,6例,10
406,超话,10
407,大厅,10
408,审批,10
409,行程,10
410,卡,10
411,有人,10
412,参与,10
413,4.,10
414,5.,10
415,份,10
416,执行,10
417,百姓,10
418,监管,10
419,快乐,10
420,排查,10
421,流行病史,10
422,实验室,10
423,影像,10
424,分型,10
425,转至,10
426,通信,10
427,检出,10
428,[心,10
429,分类,10
430,下降,10
431,勤,10
432,团队,10
433,老人,10
434,滞留,10
435,联合国,10
436,德国,10
437,进院,10
438,高速,9
439,医学部,9
440,融媒,9
441,回应,9
442,航班,9
443,数据,9
444,建议,9
445,买,9
446,支援,9
447,坚守,9
448,市级,9
449,专家组,9
450,社会面,9
451,机制,9
452,连续,9
453,住,9
454,主动,9
455,女儿,9
456,感动,9
457,一家,9
458,字,9
459,近期,9
460,出生,9
461,日常,9
462,上海,9
463,政务,9
464,办公,9
465,全区,9
466,佩戴,9
467,消毒,9
468,提出,9
469,四筛,9
470,启动,9
471,石油,9
472,工商,9
473,工程,9
474,36,9
475,瞬间,9
476,奥密克,9
477,迎来,9
478,接种,9
479,疫苗,9
480,防范,9
481,下午,9
482,官方,9
483,超过,9
484,新型,9
485,自行,9
486,发生,9
487,国内,9
488,县,9
489,为准,9
490,落地,9
491,强制,9
492,住址,9
493,分钟,9
494,顾清,9
495,直报,9
496,报备,9
497,门诊,9
498,预警,9
499,考察,9
500,公交,9
501,就诊,9
502,菜,9
503,韩媒,9
504,辖长,8
505,延堡,8
506,长延堡街道,8
507,一区,8
508,珠海,8
509,中高,8
510,只能,8
511,经历,8
512,消杀,8
513,分析,8
514,回,8
515,战胜,8
516,面对,8
517,制药,8
518,上周,8
519,想到,8
520,允悲,8
521,正式,8
522,行政区,8
523,死亡,8
524,79,8
525,央视,8
526,真的,8
527,对外,8
528,复工,8
529,复产,8
530,发展,8
531,引发,8
532,上午,8
533,广场,8
534,推进,8
535,大寒,8
536,听,8
537,各校,8
538,美术,8
539,工业,8
540,生物,8
541,医药,8
542,悲伤,8
543,场景,8
544,蓝,8
545,战争,8
546,进返,8
547,道路,8
548,法规,8
549,京剧,8
550,传统,8
551,平台,8
552,核查,8
553,发放,8
554,山区,8
555,咳嗽,8
556,高铁,8
557,冷链,8
558,过程,8
559,通知,8
560,祥和,8
561,日期,8
562,通风,8
563,设施,8
564,操作,8
565,平均,8
566,外出,8
567,就餐,8
568,证照,8
569,规范,8
570,清洗,8
571,米,8
572,许昌,8
573,板块,8
574,同事,8
575,返,8
576,救护车,8
577,蓝田县,8
578,全县,8
579,门店,8
580,主管,8
581,总理,8
582,古特雷斯,8
583,阴天,8
584,车位,8
585,特困,8
586,群体,8
587,青兰,7
588,入口,7
589,区级,7
590,市委,7
591,带,7
592,守护,7
593,明天,7
594,定期,7
595,参加,7
596,支持,7
597,英国,7
598,首相,7
599,制作,7
600,钱,7
601,信心,7
602,负责,7
603,稳定,7
604,三口,7
605,基层,7
606,涨停,7
