id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,103710288,685069,95856851,6555826,92.4%,1297611,1.3%
2,欧洲,134831290,1543353,102305877,30889059,75.9%,1636354,1.2%
3,非洲,11186070,15072,10043308,901143,89.8%,241619,2.2%
4,大洋洲,2929676,27757,2629345,293716,89.7%,6615,0.2%
5,北美洲,91358253,431077,59296915,30720340,64.9%,1340998,1.5%
6,南美洲,50335408,389015,42941686,6168723,85.3%,1224999,2.4%
7,其他,712,0,699,0,98.2%,13,1.8%
