id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,128901,5697,119674,489,30,1,1639065600,125,0,46,0,28,-1,10431,118453,36,72,36,72,3530,68,1
2,oversea,269434437,5309353,242373100,None,None,None,1639065600,692203,None,550853,8430,None,None,None,None,None,None,None,None,21751984,132920,None
