id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,129699,5699,119964,496,41,5,1639756800,122,2,50,1,6,0,10623,119055,39,62,39,62,4036,53,1
2,oversea,274497698,5362965,246343608,None,None,None,1639756800,691922,None,487606,7404,None,None,None,None,None,None,None,None,22791125,196912,None
