id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,119922014,670778,109331265,9238928,91.2%,1351821,1.1%
2,欧洲,159704560,656721,138985045,18996974,87.0%,1722541,1.1%
3,非洲,11568717,5957,10695554,623104,92.5%,250059,2.2%
4,大洋洲,3833941,41768,3360141,465763,87.6%,8037,0.2%
5,北美洲,95286408,75062,67205839,26666194,70.5%,1414375,1.5%
6,南美洲,54694392,103678,48861551,4570358,89.3%,1262483,2.3%
7,其他,712,0,699,0,98.2%,13,1.8%
