id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,库克群岛,6,2,0,6,2,0.0%,0,0,0.0%,0,1
2,基里巴斯,2867,6,1660,1196,-66,57.9%,72,11,0.4%,0,1
3,汤加王国,289,0,38,251,0,13.1%,0,0,0.0%,0,1
4,韩国,2499188,171448,969524,1521975,138716,38.8%,32633,7689,0.3%,99,1
5,帕劳共和国,3667,40,2820,841,11,76.9%,29,6,0.2%,0,1
6,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
7,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
8,萨摩亚独立国,33,0,3,30,0,9.1%,0,0,0.0%,0,1
9,瓦努阿图共和国,15,0,6,8,0,40.0%,0,1,6.7%,0,1
10,马尔维纳斯群岛,89,0,68,21,0,76.4%,0,0,0.0%,0,1
11,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
12,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
13,所罗门群岛,6348,77,1626,4635,73,25.6%,2,87,1.4%,2,1
14,莱索托,32599,165,23330,8573,-49,71.6%,214,696,2.1%,0,1
15,科摩罗,8026,3,7846,20,-10,97.8%,13,160,2.0%,0,1
16,塔吉克斯坦,17388,0,17252,12,0,99.2%,0,124,0.7%,0,1
17,海峡群岛,49923,603,47158,2623,74,94.5%,528,142,0.3%,1,1
18,阿拉伯联合酋长国,876624,740,824971,49355,-1217,94.1%,1956,2298,0.3%,1,1
19,也门,11751,5,8582,1039,-3,73.0%,2,2130,18.1%,6,1
20,圣皮埃尔,1063,0,1035,27,0,97.4%,0,1,0.1%,0,1
21,圣多美和普林西比,5932,2,5850,10,-1,98.6%,3,72,1.2%,0,1
22,南苏丹,16946,4,13250,3559,-169,78.2%,173,137,0.8%,0,1
23,马拉维,85257,10,75044,7603,-260,88.0%,267,2610,3.1%,3,1
24,布隆迪,38027,7,773,37216,7,2.0%,0,38,0.1%,0,1
25,塞拉利昂,7663,0,4393,3145,0,57.3%,0,125,1.6%,0,1
26,博茨瓦纳,262652,0,256886,3152,0,97.8%,0,2614,1.0%,0,1
27,百慕大,11423,0,11096,204,0,97.1%,0,123,1.1%,0,1
28,英属维尔京群岛,6074,0,2649,3363,0,43.6%,0,62,1.0%,0,1
29,安圭拉,2528,0,2506,13,0,99.1%,0,9,0.4%,0,1
30,格林纳达,13565,0,13184,167,0,97.2%,0,214,1.6%,0,1
31,圣基茨和尼维斯,5524,0,5465,17,-5,98.9%,5,42,0.8%,0,1
32,特克斯和凯科斯群岛,5855,2,5783,36,-8,98.8%,10,36,0.6%,0,1
33,几内亚比绍,7972,8,6965,841,0,87.4%,8,166,2.1%,0,1
34,马里,30355,6,29014,619,-76,95.6%,80,722,2.4%,2,1
35,利比亚,489940,1373,450874,32844,-1747,92.0%,3108,6222,1.3%,12,1
36,老挝,141933,253,7660,133656,250,5.4%,0,617,0.4%,3,1
37,伯利兹,56450,118,54039,1763,-127,95.7%,243,648,1.1%,2,1
38,缅甸,575508,3381,527367,28792,2347,91.6%,1029,19349,3.4%,5,1
39,多米尼克,10991,152,10555,379,-371,96.0%,523,57,0.5%,0,1
40,莫桑比克,224983,17,219279,3513,-41,97.5%,57,2191,1.0%,1,1
41,叙利亚,54040,128,46088,4893,-100,85.3%,225,3059,5.7%,3,1
42,马恩岛,22471,64,22098,294,20,98.3%,44,79,0.4%,0,1
43,巴布亚新几内亚,40621,325,38292,1693,-8,94.3%,333,636,1.6%,0,1
44,厄立特里亚,9694,5,9579,12,-15,98.8%,20,103,1.1%,0,1
45,乌干达,163085,14,99909,59596,-3,61.3%,17,3580,2.2%,0,1
46,安哥拉,98698,13,96613,186,-4,97.9%,17,1899,1.9%,0,1
47,东帝汶,22485,0,21423,937,0,95.3%,0,125,0.6%,0,1
48,新喀里多尼亚,52321,6084,39789,12233,731,76.0%,5341,299,0.6%,12,1
49,马达加斯加,63433,0,57862,4221,0,91.2%,0,1350,2.1%,0,1
50,津巴布韦,234589,409,225233,3968,303,96.0%,104,5388,2.3%,2,1
51,佛得角,55870,1,55403,66,-1,99.2%,1,401,0.7%,1,1
52,蒙特塞拉特,163,0,161,0,0,98.8%,0,2,1.2%,0,1
53,海地,30299,27,25185,4294,16,83.1%,11,820,2.7%,0,1
54,尼日尔,8746,2,8419,21,-4,96.3%,6,306,3.5%,0,1
55,乍得,7246,0,4874,2182,0,67.3%,0,190,2.6%,0,1
56,萨尔瓦多,147786,0,123870,19862,-4,83.8%,0,4054,2.7%,4,1
57,尼加拉瓜,18004,109,4225,13559,108,23.5%,0,220,1.2%,1,1
58,斐济,63687,37,61870,991,32,97.1%,5,826,1.3%,0,1
59,毛里求斯,30349,233,26540,3023,72,87.4%,161,786,2.6%,0,1
60,赞比亚,311888,624,305673,2268,374,98.0%,248,3947,1.3%,2,1
61,吉布提,15543,1,15347,7,-3,98.7%,4,189,1.2%,0,1
62,吉尔吉斯斯坦,200402,20,194664,2788,-131,97.1%,150,2950,1.5%,1,1
63,巴巴多斯,54344,222,51335,2698,-32,94.5%,254,311,0.6%,0,1
64,黑山,229430,474,224589,2171,-304,97.9%,774,2670,1.2%,4,1
65,冈比亚,11924,0,11461,98,0,96.1%,0,365,3.1%,0,1
66,格陵兰岛,11645,0,2761,8868,0,23.7%,0,16,0.1%,0,1
67,贝宁,26567,0,25506,898,0,96.0%,0,163,0.6%,0,1
68,索马里,26313,0,13182,11783,0,50.1%,0,1348,5.1%,0,1
69,坦桑尼亚,33620,71,183,32639,69,0.5%,0,798,2.4%,2,1
70,利比里亚,7360,0,5747,1323,0,78.1%,0,290,3.9%,0,1
71,圭亚那合作共和国,62779,78,60718,846,-26,96.7%,102,1215,1.9%,2,1
72,马约特,36631,0,2964,33480,0,8.1%,0,187,0.5%,0,1
73,巴哈马,33081,13,26116,6195,-74,78.9%,87,770,2.3%,0,1
74,乌兹别克斯坦,235880,138,231032,3222,-1130,97.9%,1267,1626,0.7%,1,1
75,瓜德罗普,126642,0,2250,123555,0,1.8%,0,837,0.7%,0,1
76,开曼群岛,19373,0,8553,10803,0,44.1%,0,17,0.1%,0,1
77,刚果（布）,23925,0,20178,3370,0,84.3%,0,377,1.6%,0,1
78,中非共和国,14187,0,6859,7215,0,48.3%,0,113,0.8%,0,1
79,塞舌尔,39181,0,38481,540,0,98.2%,0,160,0.4%,0,1
80,赤道几内亚,15874,0,15625,67,0,98.4%,0,182,1.1%,0,1
81,纳米比亚,157060,26,152503,555,3,97.1%,23,4002,2.5%,0,1
82,卢旺达,129436,41,45522,82457,40,35.2%,0,1457,1.1%,1,1
83,斯威士兰,69050,28,67513,147,8,97.8%,19,1390,2.0%,1,1
84,毛里塔尼亚,58621,2,57571,73,-14,98.2%,16,977,1.7%,0,1
85,阿鲁巴,33643,13,33375,57,8,99.2%,5,211,0.6%,0,1
86,钻石公主号邮轮,712,0,699,0,0,98.2%,0,13,1.8%,0,1
87,苏里南,77935,70,49352,27269,70,63.3%,0,1314,1.7%,0,1
88,库拉索,38828,41,38148,419,-104,98.2%,144,261,0.7%,1,1
89,圣卢西亚,22594,0,21554,683,0,95.4%,0,357,1.6%,0,1
90,圣文森特和格林纳丁斯,6738,0,6574,58,-3,97.6%,2,106,1.6%,1,1
91,安提瓜和巴布达,7429,0,7225,69,0,97.3%,0,135,1.8%,0,1
92,危地马拉,766475,3793,703196,46418,-468,91.7%,4222,16861,2.2%,39,1
93,乌拉圭,827814,4405,788661,32234,-1776,95.3%,6171,6919,0.8%,10,1
94,委内瑞拉,512560,397,498357,8579,-1147,97.2%,1539,5624,1.1%,5,1
95,苏丹,61350,28,40329,17126,26,65.7%,0,3895,6.3%,2,1
96,几内亚,36393,0,32939,3014,0,90.5%,0,440,1.2%,0,1
97,埃塞俄比亚,468495,47,411591,49458,-57,87.9%,103,7446,1.6%,1,1
98,哈萨克斯坦,1300730,598,1261996,25174,-2548,97.0%,3146,13560,1.0%,0,1
99,肯尼亚,322781,34,303144,13999,34,93.9%,0,5638,1.7%,0,1
100,特立尼达和多巴哥,125210,412,100076,21538,-194,79.9%,598,3596,2.9%,8,1
101,加蓬,47520,0,45743,1474,0,96.3%,0,303,0.6%,0,1
102,加纳,159124,112,157133,549,-81,98.7%,192,1442,0.9%,1,1
103,法属波利尼西亚,64349,0,33500,30212,0,52.1%,0,637,1.0%,0,1
104,古巴,1066927,467,1055626,2807,-162,98.9%,629,8494,0.8%,0,1
105,留尼汪岛,292126,13632,274185,17301,-10231,93.9%,23826,640,0.2%,37,1
106,科特迪瓦,81410,23,79596,1023,-161,97.8%,184,791,1.0%,0,1
107,洪都拉斯,408456,0,127289,270496,0,31.2%,0,10671,2.6%,0,1
108,玻利维亚,891851,692,782821,87624,-1053,87.8%,1731,21406,2.4%,14,1
109,圣马丁岛,9537,2,9403,49,-16,98.6%,18,85,0.9%,0,1
110,圣巴泰勒米岛,3735,0,462,3267,0,12.4%,0,6,0.2%,0,1
111,牙买加,127741,41,75675,49268,-133,59.2%,166,2798,2.2%,8,1
112,土耳其,13762181,86070,12949425,719498,-12400,94.1%,98199,93258,0.7%,271,1
113,刚果（金）,85876,0,50930,33611,0,59.3%,0,1335,1.6%,0,1
114,巴拿马,752907,932,736145,8715,-730,97.8%,1655,8047,1.1%,7,1
115,蒙古国,462818,525,313256,147399,523,67.7%,0,2163,0.5%,2,1
116,布基纳法索,20751,0,20309,67,0,97.9%,0,375,1.8%,0,1
117,塞浦路斯,313406,2322,124370,188203,2317,39.7%,0,833,0.3%,5,1
118,文莱,48055,3285,23593,24349,2122,49.1%,1163,113,0.2%,0,1
119,马提尼克,112901,0,104,111921,0,0.1%,0,876,0.8%,0,1
120,法属圭亚那,77607,43,11254,65962,42,14.5%,0,391,0.5%,1,1
121,法罗群岛,32044,0,7693,24327,0,24.0%,0,24,0.1%,0,1
122,阿尔巴尼亚,270734,279,263518,3763,-206,97.3%,483,3453,1.3%,2,1
123,孟加拉国,1938135,1298,1779687,129453,-6779,91.8%,8072,28995,1.5%,5,1
124,保加利亚,1080571,4667,815338,229935,-3938,75.5%,8545,35298,3.3%,60,1
125,摩尔多瓦,497946,1561,470851,15938,1542,94.6%,0,11157,2.2%,19,1
126,马尔代夫,167496,796,151319,15884,223,90.3%,573,293,0.2%,0,1
127,巴拉圭,638153,705,601781,18091,-1632,94.3%,2315,18281,2.9%,22,1
128,马耳他,70908,79,69151,1156,-19,97.5%,96,601,0.8%,2,1
129,哥斯达黎加,797030,3391,651477,137584,-678,81.7%,4051,7969,1.0%,18,1
130,哥伦比亚,6054307,2174,5877343,38600,-1471,97.1%,3565,138364,2.3%,80,1
131,多哥,36771,9,36407,92,5,99.0%,4,272,0.7%,0,1
132,秘鲁,3503892,2984,1720665,1573300,2817,49.1%,0,209927,6.0%,167,1
133,斯洛伐克,1393534,19075,1148528,226692,-1515,82.4%,20555,18314,1.3%,35,1
134,喀麦隆,119107,0,106050,11137,0,89.0%,0,1920,1.6%,0,1
135,梵蒂冈,29,0,28,1,0,96.6%,0,0,0.0%,0,1
136,塞尔维亚,1896575,4388,1730101,151464,4336,91.2%,0,15010,0.8%,52,1
137,直布罗陀,15170,297,14438,631,-148,95.2%,445,101,0.7%,0,1
138,不丹,10514,318,6959,3549,3,66.2%,315,6,0.1%,0,1
139,列支敦士登,11564,108,11105,382,20,96.0%,88,77,0.7%,0,1
140,巴勒斯坦,572854,1192,540081,27594,-1403,94.3%,2578,5179,0.9%,17,1
141,南非,3665149,2334,3531960,34211,557,96.4%,1713,98978,2.7%,64,1
142,波黑,369870,0,192218,162272,0,52.0%,0,15380,4.2%,0,1
143,匈牙利,1774676,6286,1557214,173798,-5262,87.7%,11416,43664,2.5%,132,1
144,斯洛文尼亚,884830,2466,810465,68119,-2677,91.6%,5133,6246,0.7%,10,1
145,波兰,5602680,20463,4969881,522282,-14438,88.7%,34541,110517,2.0%,360,1
146,阿根廷,8868188,16950,8615796,126617,5772,97.2%,11011,125775,1.4%,167,1
147,智利,2921131,0,1942619,936941,35,66.5%,0,41571,1.4%,0,1
148,乌克兰,4809624,25062,4058020,646099,-12667,84.4%,37432,105505,2.2%,297,1
149,沙特阿拉伯,741864,627,717394,15480,-1256,96.7%,1880,8990,1.2%,3,1
150,突尼斯,990483,3227,934331,28560,-6046,94.3%,9167,27592,2.8%,106,1
151,塞内加尔,85619,19,83556,103,-5,97.6%,23,1960,2.3%,1,1
152,拉脱维亚,612920,11320,459926,147849,170,75.0%,11135,5145,0.8%,15,1
153,摩洛哥,1159941,427,1137920,6083,-811,98.1%,1232,15938,1.4%,6,1
154,约旦,1599422,17261,1445203,140468,-12549,90.4%,29772,13751,0.9%,38,1
155,葡萄牙,3219439,26261,2732009,466508,-9108,84.9%,35313,20922,0.6%,56,1
156,安道尔,37901,231,37055,695,-95,97.8%,325,151,0.4%,1,1
157,印度尼西亚,5350902,61488,4632355,571522,22091,86.6%,39170,147025,2.7%,227,1
158,捷克,3549479,14353,3369019,142027,6107,94.9%,8178,38433,1.1%,68,1
159,多米尼加,572596,306,566088,2148,-144,98.9%,447,4360,0.8%,3,1
160,亚美尼亚,418220,946,396670,13158,-623,94.8%,1545,8392,2.0%,24,1
161,爱尔兰,1284179,7401,1143200,134519,-1030,89.0%,8414,6460,0.5%,17,1
162,卢森堡,180376,798,168959,10429,736,93.7%,61,988,0.5%,1,1
163,厄瓜多尔,820541,655,443880,341489,643,54.1%,0,35172,4.3%,12,1
164,卡塔尔,355397,365,349615,5118,-210,98.4%,573,664,0.2%,2,1
165,圣马力诺,14207,0,13703,392,0,96.5%,0,112,0.8%,0,1
166,摩纳哥,9305,50,9038,216,25,97.1%,25,51,0.5%,0,1
167,冰岛,115241,3147,75685,39496,3148,65.7%,0,60,0.1%,0,1
168,墨西哥,5455237,18309,4715751,422545,-2312,86.4%,19915,316941,5.8%,706,1
169,阿塞拜疆,779783,0,749524,20952,0,96.1%,0,9307,1.2%,0,1
170,白俄罗斯,896319,6230,882376,7536,-501,98.4%,6716,6407,0.7%,15,1
171,新西兰,45473,3183,17468,27949,2996,38.4%,187,56,0.1%,0,1
172,立陶宛,885863,7913,788567,88960,1087,89.0%,6803,8336,0.9%,23,1
173,尼日利亚,254352,27,230846,20364,-26,90.8%,53,3142,1.2%,0,1
174,埃及,475341,1989,406107,45345,92,85.4%,1846,23889,5.0%,51,1
175,荷兰,6193776,40569,3996446,2175812,-33149,64.5%,73707,21518,0.3%,11,1
176,爱沙尼亚,478941,6561,354059,122694,-304,73.9%,6858,2188,0.5%,7,1
177,丹麦,2540738,27473,2041566,494750,-24398,80.4%,51824,4422,0.2%,47,1
178,罗马尼亚,2697566,11477,2380151,254457,-9835,88.2%,21193,62958,2.3%,119,1
179,北马其顿,295082,848,280675,5449,-543,95.1%,1369,8958,3.0%,22,1
180,挪威,1186422,17749,88952,1095872,17749,7.5%,0,1598,0.1%,0,1
181,格鲁吉亚,1584454,10230,1447969,120463,2959,91.4%,7223,16022,1.0%,48,1
182,巴基斯坦,1505328,1232,1412429,62785,-1965,93.8%,3154,30114,2.0%,43,1
183,希腊,2353577,19601,2103736,224303,469,89.4%,19064,25538,1.1%,68,1
184,阿尔及利亚,264488,164,177082,80590,9,67.0%,148,6816,2.6%,7,1
185,瑞士,2718393,18336,1963537,741669,-12,72.2%,18332,13187,0.5%,16,1
186,克罗地亚,1047108,3774,1010720,21446,1910,96.5%,1827,14942,1.4%,37,1
