id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,92112567,554792,85560733,5282948,92.9%,1268886,1.4%
2,欧洲,108363557,1513565,83693284,23087497,77.2%,1582776,1.5%
3,非洲,10609508,61313,9396802,977212,88.6%,235494,2.2%
4,大洋洲,2197366,80703,816284,1375866,37.1%,5216,0.2%
5,北美洲,81744712,1240878,53732466,26727757,65.7%,1284489,1.6%
6,南美洲,44178324,364979,39530698,3446731,89.5%,1200895,2.7%
7,其他,712,0,699,0,98.2%,13,1.8%
