id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,136375,5700,123771,755,28,10,1642521600,127,3,251,0,16,1,12223,124152,23,104,6904,-124,1
2,oversea,339206746,5577769,272730966,None,None,None,1642521600,3816230,None,2156075,9759,None,None,None,None,None,None,60898011,1650396,None
