id,content,count
1,候诊,574
2,医院,548
3,疫情,395
4,采样,227
5,发热,220
6,门诊,218
7,开放,203
8,广西,203
9,含,202
10,人数,202
11,数量,200
12,百色,187
13,天津市,162
14,加油,152
15,人员,124
16,人民,110
17,防控,106
18,大学,105
19,核酸,98
20,工作,97
21,中心,89
22,天津,87
23,核酸检测,77
24,医护,73
25,中国,69
26,抗疫,63
27,医科,60
28,确诊病例,58
29,][,50
30,时间,49
31,中医,48
32,志愿者,46
33,口罩,44
34,葫芦岛,42
35,附属,41
36,希望,40
37,苏州,39
38,第三,39
39,恢复,38
40,结束,38
41,信息,37
42,全市,36
43,物资,36
44,1例,36
45,崇左市,36
46,12日,35
47,西安,35
48,国家,35
49,本土,34
50,境外输入,34
51,电池,33
52,保障,32
53,轮,32
54,[怒,32
55,检测,31
56,院区,31
57,武清区,31
58,交通,31
59,买,30
60,感谢,30
61,怒],30
62,影响,29
63,中医药,29
64,致敬,29
65,新增,28
66,新冠肺炎,28
67,无症状感染者,28
68,吃,28
69,滨海,28
70,城市,28
71,排队,27
72,新冠,27
73,真的,27
74,百色市,27
75,播报,26
76,总医院,26
77,一线,26
78,北京,26
79,新区,25
80,儿童,25
81,服务,25
82,冬奥会,24
83,定时,24
84,群众,23
85,防疫,23
86,朋友,23
87,小时,22
88,39,22
89,2022年,22
90,冬奥,22
91,期间,22
92,措施,21
93,联勤,21
94,部队,21
95,爱,21
96,发布,21
97,吴某,21
98,研究,21
99,报告,20
100,隔离,20
101,酒店,20
102,医学,20
103,近日,20
104,提醒,20
105,战胜,20
106,警方,20
107,活动,20
108,南宁市,20
109,学生,20
110,情况,20
111,员工,20
112,环境,20
113,宝坻区,19
114,蓟州区,19
115,做好,19
116,车辆,19
117,生活,19
118,累计,18
119,医务,18
120,技术,18
121,暂停,18
122,开学,18
123,新闻,18
124,落实,18
125,去年,18
126,老板,18
127,造雪,18
128,18时,17
129,40,17
130,50,17
131,南开,17
132,防护,17
133,河南,17
134,疫苗,17
135,阳性,17
136,关注,17
137,民族,17
138,确保,17
139,负责,17
140,发现,17
141,排查,17
142,相关,17
143,移民,17
144,微信,17
145,指挥部,16
146,预期,16
147,调整,16
148,站,16
149,发展,16
150,市场,16
151,第五,16
152,机构,16
153,防护服,16
154,身边,16
155,可爱,16
156,天气,16
157,现有,16
158,公司,16
159,男友,16
160,父母,16
161,钱,16
162,视频,16
163,感染,16
164,限行,16
165,出院,15
166,感动,15
167,基层,15
168,美国,15
169,健康,15
170,管理,15
171,第四,15
172,38,15
173,早日,15
174,住,15
175,采集,15
176,冰墩墩,15
177,重点,15
178,介绍,15
179,能量,15
180,密度,15
181,流量,15
182,治愈,14
183,杭州,14
184,车,14
185,模式,14
186,啊啊,14
187,1.,14
188,解放军,14
189,第983,14
190,南开区,14
191,东丽,14
192,52,14
193,参加,14
194,配合,14
195,抗击,14
196,市,14
197,小区,14
198,篇,14
199,老师,14
200,孩子,14
201,风险,14
202,辛苦,14
203,提供,14
204,加薪,14
205,新型,14
206,道路,14
207,mRNA-1273,14
208,善意,14
209,辽宁,13
210,成本,13
211,4.,13
212,5.,13
213,确诊,13
214,记者,13
215,接种,13
216,工作人员,13
217,上午,13
218,绥中,13
219,检查,13
220,病毒,13
221,持续,13
222,运营,13
223,四,12
224,台阶,12
225,区域,12
226,[泪,12
227,泰达,12
228,7.,12
229,马场,12
230,中西医,12
231,分院,12
232,空港,12
233,西青,12
234,33,12
235,34,12
236,龙岩,12
237,36,12
238,北辰区,12
239,37,12
240,北辰,12
241,宁河区,12
242,静海区,12
243,胸科,12
244,戴,12
245,巴黎,12
246,消息,12
247,钦州市,12
248,密切接触者,12
249,急需,12
250,社会,12
251,实验室,12
252,居民,12
253,玫瑰,12
254,照顾,12
255,苹果,12
256,计划,12
257,全员,12
258,参与,12
259,察觉,12
260,村民,12
261,鹤壁市,12
262,各项,12
263,项目,12
264,停车,12
265,乌克兰,11
266,旅游,11
267,回来,11
268,国际,11
269,工作者,11
270,报道,11
271,粉丝,11
272,昨天,11
273,中小学,11
274,媒体,11
275,团队,11
276,微博,11
277,努力,11
278,经济,11
279,青年,11
280,稳定,11
281,到来,11
282,女,11
283,状态,11
284,网友,11
285,管理局,11
286,志愿,11
287,部门,11
288,鲜花,11
289,传播,11
290,调研,11
291,交警,11
292,观察,10
293,终于,10
294,感恩,10
295,美,10
296,51,10
297,口腔,10
298,眼科,10
299,肿瘤,10
300,天使,10
301,500,10
302,抗议,10
303,快递,10
304,支援,10
305,解除,10
306,岁,10
307,悲],10
308,家长,10
309,肯定,10
310,心],10
311,条件,10
312,家乡,10
313,爷爷,10
314,房,10
315,物质,10
316,幅度,10
317,依然,10
318,有序,10
319,组织,10
320,安排,10
321,发表,10
322,地铁,10
323,市民,10
324,大棚,10
325,文章,10
326,人工,10
327,世界,10
328,违法,10
329,雄,10
330,南和区,10
331,46,9
332,44,9
333,同事,9
334,政策,9
335,家人,9
336,津南区,9
337,42,9
338,48,9
339,网络,9
340,[心,9
341,白衣,9
342,日记,9
343,中午,9
344,骑,9
345,西安市,9
346,个股,9
347,骂,9
348,全民,9
349,方舱,9
350,电网,9
351,支,9
352,返津,9
353,全国,9
354,能力,9
355,挺,9
356,找,9
357,阴性,9
358,单位,9
359,护照,9
360,出入境,9
361,带,9
362,关键,9
363,控制,9
364,翻山越岭,9
365,店员,9
366,530,9
367,转账,9
368,盗窃,9
369,科技,9
370,开发,9
371,千克,9
372,雪,9
373,号,9
374,死亡,8
375,送,8
376,走,8
377,气泡,8
378,执行,8
379,水平,8
380,加息,8
381,和平,8
382,网上,8
383,拳头,8
384,超话,8
385,自由,8
386,拦下,8
387,法国,8
388,依旧,8
389,搞,8
390,全域,8
391,选择,8
392,居家,8
393,24时,8
394,261,8
395,当日,8
396,防城港市,8
397,姐姐,8
398,紧急,8
399,大雪,8
400,秩序,8
401,抱,8
402,终将,8
403,歧视,8
404,分裂,8
405,疾控,8
406,开封,8
407,结婚,8
408,分析,8
409,基础,8
410,管控,8
411,距离,8
412,远,8
413,助力,8
414,使馆,8
415,局势,8
416,绥中县,8
417,患者,8
418,店,8
419,形势,8
420,门口,8
421,国内,8
422,战疫,8
423,手套,8
424,主动,8
425,接种者,8
426,抓,8
427,研发,8
428,造雪机,8
429,机动车,8
430,入住,8
431,流调,8
432,减弱,8
433,老奶奶,8
434,葫芦岛市,7
435,社区,7
436,减少,7
437,未来,7
438,跌,7
439,周期,7
440,活跃,7
441,大港,7
442,海滨,7
443,中新,7
444,生态城,7
445,10.市,7
446,11.市,7
447,12.市,7
448,13.市,7
449,14.市,7
450,疗养,7
451,黄河,7
452,三潭,7
453,王顶堤,7
454,19.市,7
455,21.市,7
456,22.市,7
457,25.市,7
458,红桥,7
459,武警,7
460,特色,7
461,入境,7
462,接诊,7
463,东丽区,7
464,二期,7
465,32.市,7
466,海河,7
467,小站,7
468,津南,7
469,35.市,7
470,41,7
471,43,7
472,45,7
473,47,7
474,塘沽,7
475,传染病,7
476,49.市,7
477,市第四医院,7
478,港口,7
479,热门,7
480,诊候,7
481,诊,7
482,8时,7
483,连续,7
484,逆行者,7
485,英雄,7
486,应对,7
487,新一代,7
488,只能,7
489,10%,7
490,系统,7
491,贡献,7
492,通告,7
493,2021年,7
494,妹妹,7
495,妈妈,7
496,在家,7
497,做出,7
498,生病,7
499,通知,7
500,板块,7
501,候车,7
502,制造,7
503,到位,7
504,德保,7
505,高效,7
506,报备,7
507,病例,7
508,付出,7
509,胜利,7
510,身体,7
511,趟,7
512,回家,7
513,干,7
514,早点,7
515,记录,7
516,公民,7
517,列车,7
518,呈,7
519,登记,7
520,生日,7
521,出境,7
522,学校,7
523,办公室,7
524,接近,7
525,成果,7
526,上海,7
527,连夜,7
528,书记,7
529,小学,7
530,学期,7
531,聚餐,7
532,过程,7
533,运动员,7
534,表达,7
535,整治,7
536,辽宁省,6
537,院,6
538,治疗,6
539,样本,6
540,背景,6
541,国门,6
542,猪肉,6
543,这是,6
544,取消,6
545,经验,6
546,国债,6
547,落地,6
548,快速,6
549,火车,6
550,拉,6
551,停,6
552,分钟,6
553,！！,6
554,泪],6
555,明天,6
556,6时,6
557,35,6
558,力量,6
559,穿着,6
560,车队,6
561,试图,6
562,禁止,6
563,车水马龙,6
564,散去,6
565,教育,6
566,跌幅,6
567,估值,6
568,给予,6
569,家里,6
570,发货,6
571,等待,6
572,提前,6
573,好好,6
574,指跌,6
575,一度,6
576,捐,6
577,狗,6
578,辅警,6
579,奋战,6
580,份子,6
581,意识,6
582,省份,6
583,统一,6
584,电力,6
585,南方,6
586,突击队,6
587,情感,6
588,男朋友,6
589,看好,6
590,月入,6
591,母亲,6
592,父亲,6
593,洛阳,6
594,一家,6
595,焦虑,6
596,家庭,6
597,退,6
598,半年,6
599,困难,6
600,零售,6
601,地区,6
602,2020年,6
603,合作,6
604,电车,6
605,过年,6
606,芒芒,6
607,驻,6
608,旅乌,6
609,获悉,6
610,原因,6
611,境外,6
612,严峻,6
613,身份证,6
614,遵守,6
615,切实,6
616,维护,6
617,价格,6
618,99,6
619,云南,6
620,红玫瑰,6
621,盗转店,6
622,温州,6
623,亏损,6
624,电脑,6
625,钱款,6
626,187,6
627,笔,6
628,万元,6
629,澎湃,6
630,小号,6
631,废料,6
632,制成,6
633,项,6
634,生产,6
635,出门,6
636,发生,6
637,优先,6
638,领导,6
639,捐赠,6
640,缺席,6
641,顶流,6
642,冰墩,6
643,村委会,6
644,打卡,6
645,祝,6
646,模拟,6
647,异常,6
648,演练,6
649,抽样,6
650,自发,6
651,提高,6
652,中和,6
653,中国人,6
654,应急,6
655,土鸡,6
656,老家,6
657,收到,6
658,水,6
659,小学生,6
660,两手,6
661,面对,6
662,机理,6
663,性能,6
664,园区,6
665,特莎·莫德,6
666,武大,6
667,以人为本,6
668,案例,6
669,2021,6
670,小心,6
671,规则,6
672,扎实,6
673,重视,6
674,!,6
675,👍👍,6
676,网民,5
677,美好,5
678,公里,5
679,俄,5
680,全球,5
681,进口,5
682,药,5
683,暴涨,5
684,类似,5
685,货币,5
686,担心,5
687,效果,5
688,研究院,5
689,职业病,5
690,防治院,5
691,市中心,5
692,妇产科,5
693,环湖,5
694,安定,5
695,科学院,5
696,血液病,5
697,代谢病,5
698,心血管病,5
699,32,5
700,春暖花开,5
701,有人,5
702,部署,5
703,豫见,5
704,征程,5
705,值得,5
706,期待,5
707,医疗,5
708,休息,5
709,本轮,5
710,8例,5
711,治,5
712,弟弟,5
713,奉献,5
714,今晚,5
715,下跌,5
716,收盘,5
717,消费,5
718,辱骂,5
719,恶意,5
720,破防,5
721,！！！,5
722,旅客,5
723,驰援,5
724,高呼,5
725,车站,5
726,公安局,5
727,节日,5
728,县,5
729,指挥,5
730,集结,5
731,始终,5
732,温暖,5
733,表现,5
734,第一时间,5
735,投入,5
736,运行,5
737,毕业,5
738,160,5
739,回,5
740,身份,5
741,那种,5
742,害怕,5
743,拜托,5
744,年度,5
745,解封,5
746,意义,5
747,日报,5
748,美食,5
749,西青区,5
750,央视,5
751,大白,5
752,面前,5
753,喜欢,5
754,出国,5
755,办理,5
756,换发,5
757,证件,5
758,变化,5
759,对外,5
760,原则,5
761,米,5
762,全区,5
763,症状,5
764,责任,5
765,证明,5
766,气候,5
767,同期,5
768,冰雪,5
769,生长,5
770,国外,5
771,100万,5
772,住处,5
773,衣物,5
774,新冠病毒,5
775,超级,5
776,边境,5
777,阿姨,5
778,记忆,5
779,上门,5
780,小朋友,5
781,出行,5
782,放松,5
783,下雨天,5
784,雪花,5
785,清雪,5
786,清融,5
787,作业,5
788,周边,5
789,各类,5
790,7号,5
791,作用,5
792,精华,5
793,融,5
794,都会,5
795,简单,5
796,归来,5
797,顺利,5
798,帮忙,5
799,感冒,5
800,小组,5
801,通报,5
802,飘扬,5
803,靖西,5
804,来之不易,5
805,习惯,5
806,滨江,5
807,半,5
808,数据,5
809,实验,5
810,环节,5
811,2022,5
812,喝,5
813,日子,5
814,行人,5
815,接种疫苗,5
816,0时,4
817,15时,4
818,紧张,4
819,几十,4
820,葫芦娃,4
821,煽动,4
822,油价,4
823,催化,4
824,通胀,4
825,100,4
826,调控,4
827,周末,4
828,情绪,4
829,利好,4
830,强化,4
831,旅游业,4
832,懂,4
833,聊,4
834,两三,4
835,票,4
836,跳涨,4
837,解决,4
838,机制,4
839,广东,4
840,驿站,4
841,债务,4
842,大概率,4
843,收益率,4
844,倒挂,4
845,不用,4
846,挥舞,4
847,砍,4
848,威慑,4
849,跨,4
850,题材,4
851,卷,4
852,资金,4
853,狼,4
854,赛道,4
855,唯一,4
856,。。。,4
857,哭,4
858,暴力,4
859,严寒,4
860,静待,4
861,芒果,4
862,大唐,4
863,不夜城,4
864,演出,4
865,时间表,4
866,村里,4
867,全程,4
868,抵达,4
869,田阳,4
870,作战,4
871,终,4
872,平安,4
873,参考,4
874,辆,4
875,卡车,4
876,车主,4
877,奋进,4
878,学,4
879,杀,4
880,伤心,4
881,柳州,4
882,住户,4
883,脱掉,4
884,浪费,4
885,就近,4
886,谢谢,4
887,262,4
888,3例,4
889,96,4
890,79,4
891,5例,4
892,153,4
893,144,4
894,546,4
895,3989,4
896,263,4
897,996,4
898,635,4
899,359,4
900,越发,4
901,第一线,4
902,下周,4
903,卫生,4
904,带来,4
905,时代,4
906,超,4
907,截止,4
908,沪指,4
909,概念,4
910,每日,4
911,万柳园,4
912,丰台,4
913,朴素,4
914,博主,4
915,热搜,4
916,蹭,4
917,玩,4
918,米粉,4
919,广播,4
920,大化,4
921,瑶族,4
922,自治县,4
923,唐帅,4
