id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,128650,5697,119590,465,23,4,1638806400,132,1,50,0,22,6,10346,118256,30,70,30,70,3363,50,1
2,oversea,267924323,5288609,241133652,None,None,None,1638892800,685160,None,503822,8864,None,None,None,None,None,None,None,None,21502062,172474,None
