id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,116097299,557951,107107452,7648919,92.3%,1340928,1.2%
2,欧洲,155571149,502835,132109565,21755914,84.9%,1705670,1.1%
3,非洲,11519519,7825,10607080,663179,92.1%,249260,2.2%
4,大洋洲,3550923,33660,3187423,355744,89.8%,7756,0.2%
5,北美洲,94793320,50527,65614728,27777494,69.2%,1401098,1.5%
6,南美洲,54222032,145008,47773441,5191300,88.1%,1257291,2.3%
7,其他,712,0,699,0,98.2%,13,1.8%
