id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,198755,6148,133993,1006,114,6,1645891200,24824,5,449,82,21,2,14339,184352,147,24613,58614,24229,1
2,oversea,435885958,5963082,366560670,None,None,None,1645891200,1297806,None,1762165,6155,None,None,None,None,None,None,63362206,-470514,None
