id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,81026912,86582,78234401,1599751,96.6%,1192760,1.5%
2,欧洲,69866988,338357,61598128,6895118,88.2%,1373742,2.0%
3,非洲,8653986,3455,8035395,396652,92.9%,221939,2.6%
4,大洋洲,345780,2448,297885,43822,86.1%,4073,1.2%
5,北美洲,58121058,119587,46795359,10146555,80.5%,1179144,2.0%
6,南美洲,38782310,21756,36883035,721551,95.1%,1177724,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
