id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,133373,5699,121354,632,45,7,1641398400,310,6,102,0,30,0,11491,121813,58,183,6320,139,1
2,oversea,300790490,5485640,257507247,None,None,None,1641398400,2650176,None,680074,7639,None,None,None,None,None,None,37797603,1962463,None
