id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127297,5697,118319,510,13,2,1636905600,37,1,86,0,20,3,9896,117401,11,26,11,26,3281,-39,1
2,oversea,254455433,5116215,230065115,None,None,None,1636905600,389557,None,324711,4774,None,None,None,None,None,None,None,None,19274103,60072,None
