id,date,curConfirm,confirmed,cured,died,curConfirmRelative,overseasInputRelative
1,2022-01-29,6842,138244,125702,5700,-13,22
2,2022-01-30,6846,138450,125904,5700,6,27
3,2022-01-31,6847,138621,126074,5700,8,18
4,2022-02-01,6833,138753,126220,5700,41,39
5,2022-02-02,6869,138960,126391,5700,36,27
6,2022-02-03,6982,139193,126511,5700,55,18
7,2022-02-04,7031,139393,126662,5700,34,17
8,2022-02-05,7187,139714,126827,5700,155,18
9,2022-02-06,7406,140108,127002,5700,193,30
10,2022-02-07,7477,140411,127234,5700,67,34
11,2022-02-08,7720,140888,127468,5700,280,40
12,2022-02-09,7844,141183,127639,5700,136,37
13,2022-02-10,8288,141846,127856,5702,499,22
14,2022-02-11,8354,142377,128320,5703,-13,45
15,2022-02-12,8699,143051,128649,5703,353,59
16,2022-02-13,8688,143295,128901,5706,8,39
17,2022-02-14,9088,143778,128984,5706,380,58
18,2022-02-15,9990,145343,129644,5709,920,40
19,2022-02-16,10446,146116,129958,5712,434,56
20,2022-02-17,11048,147050,130287,5715,608,57
21,2022-02-18,11369,147680,130585,5726,304,47
22,2022-02-19,12652,149312,130914,5746,1272,57
23,2022-02-20,12942,149939,131233,5764,309,94
24,2022-02-21,13192,150470,131502,5776,273,73
25,2022-02-22,16633,154235,131814,5788,3433,79
26,2022-02-23,19156,157139,132159,5824,2531,115
27,2022-02-24,22906,161261,132482,5873,3708,101
28,2022-02-25,25349,164070,132807,5914,2453,142
29,2022-02-26,29072,168227,133169,5986,3722,156
30,2022-02-27,34397,174007,133544,6066,5347,127
31,2022-02-28,58614,198755,133993,6148,24229,147
32,2022-03-01,87049,228292,134764,6479,10670,125
33,2022-03-02,106750,248838,135431,6657,17369,153
34,2022-03-03,125855,268850,136140,6855,19662,160
35,2022-03-04,125567,269210,136788,6855,19244,233
36,2022-03-05,156496,300941,137402,7043,30911,179
37,2022-03-06,173794,319307,138250,7263,17306,154
38,2022-03-07,192000,338552,139056,7496,18232,113
39,2022-03-08,197341,344671,139554,7776,5311,150
40,2022-03-10,211270,359850,140513,8067,13904,104
41,2022-03-10,229877,379962,141446,8639,11160,126
42,2022-03-11,229279,380384,142466,8639,6814,158
43,2022-03-12,233674,386101,143494,8933,4437,112
44,2022-03-13,238006,391847,144623,9218,4305,131
45,2022-03-14,242929,397910,145499,9482,4803,100
