id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,纽埃,1,0,0,1,0,0.0%,0,0,0.0%,0,1
2,库克群岛,379,22,117,262,11,30.9%,11,0,0.0%,0,1
3,基里巴斯,3038,6,2455,570,-7,80.8%,13,13,0.4%,0,1
4,汤加王国,2072,167,705,1365,84,34.0%,83,2,0.1%,0,1
5,韩国,7228550,309769,969524,6248138,309569,13.4%,0,10888,0.2%,200,1
6,帕劳共和国,3922,23,3630,286,-39,92.6%,62,6,0.2%,0,1
7,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
8,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
9,萨摩亚独立国,48,0,28,20,0,58.3%,0,0,0.0%,0,1
10,瓦努阿图共和国,341,52,30,310,38,8.8%,14,1,0.3%,0,1
11,马尔维纳斯群岛,118,0,68,50,0,57.6%,0,0,0.0%,0,1
12,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
13,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
14,所罗门群岛,9124,633,1860,7144,631,20.4%,0,120,1.3%,2,1
15,莱索托,32775,0,23900,8178,0,72.9%,0,697,2.1%,0,1
16,科摩罗,8069,6,7887,22,5,97.7%,1,160,2.0%,0,1
17,塔吉克斯坦,17388,0,17263,1,0,99.3%,0,124,0.7%,0,1
18,海峡群岛,57265,0,53287,3831,0,93.1%,0,147,0.3%,0,1
19,阿拉伯联合酋长国,885703,296,850971,32430,-684,96.1%,980,2302,0.3%,0,1
20,也门,11793,0,8879,775,-21,75.3%,21,2139,18.1%,0,1
21,圣皮埃尔,1316,0,1099,216,0,83.5%,0,1,0.1%,0,1
22,圣多美和普林西比,5936,1,5862,2,1,98.8%,0,72,1.2%,0,1
23,南苏丹,17064,10,13507,3419,10,79.2%,0,138,0.8%,0,1
24,马拉维,85504,4,76752,6129,-20,89.8%,21,2623,3.1%,3,1
25,布隆迪,38274,0,773,37463,0,2.0%,0,38,0.1%,0,1
26,塞拉利昂,7668,0,4393,3150,0,57.3%,0,125,1.6%,0,1
27,博茨瓦纳,263950,0,259434,1897,0,98.3%,0,2619,1.0%,0,1
28,百慕大,11989,0,11607,257,0,96.8%,0,125,1.0%,0,1
29,英属维尔京群岛,6104,0,2649,3393,0,43.4%,0,62,1.0%,0,1
30,安圭拉,2595,0,2572,14,0,99.1%,0,9,0.3%,0,1
31,格林纳达,13690,0,13336,138,0,97.4%,0,216,1.6%,0,1
32,圣基茨和尼维斯,5541,0,5495,4,0,99.2%,0,42,0.8%,0,1
33,特克斯和凯科斯群岛,5874,0,5808,30,0,98.9%,0,36,0.6%,0,1
34,几内亚比绍,8068,18,7067,833,6,87.6%,12,168,2.1%,0,1
35,马里,30423,6,29583,114,3,97.2%,3,726,2.4%,0,1
36,利比亚,500304,304,483955,9999,-555,96.7%,853,6350,1.3%,6,1
37,老挝,146687,359,7660,138386,359,5.2%,0,641,0.4%,0,1
38,伯利兹,57071,0,56002,417,0,98.1%,0,652,1.1%,0,1
39,缅甸,606227,487,558736,28080,-680,92.2%,1164,19411,3.2%,3,1
40,多米尼克,11529,27,11142,325,12,96.6%,15,62,0.5%,0,1
41,莫桑比克,225179,6,221972,1009,6,98.6%,0,2198,1.0%,0,1
42,叙利亚,55399,37,50091,2191,-354,90.4%,388,3117,5.6%,3,1
43,马恩岛,24913,0,23472,1360,0,94.2%,0,81,0.3%,0,1
44,巴布亚新几内亚,41533,0,39905,989,0,96.1%,0,639,1.5%,0,1
45,厄立特里亚,9722,0,9617,2,0,98.9%,0,103,1.1%,0,1
46,乌干达,163517,43,100117,59806,34,61.2%,9,3594,2.2%,0,1
47,安哥拉,98931,18,96900,131,12,97.9%,6,1900,1.9%,0,1
48,东帝汶,22789,0,22596,64,0,99.2%,0,129,0.6%,0,1
49,新喀里多尼亚,59616,272,57445,1866,-1068,96.4%,1340,305,0.5%,0,1
50,马达加斯加,63870,0,59156,3337,0,92.6%,0,1377,2.2%,0,1
51,津巴布韦,242909,158,232425,5068,-347,95.7%,505,5416,2.2%,0,1
52,佛得角,55907,0,55453,53,-4,99.2%,4,401,0.7%,0,1
53,蒙特塞拉特,171,0,162,7,0,94.7%,0,2,1.2%,0,1
54,海地,30461,15,26538,3096,-221,87.1%,236,827,2.7%,0,1
55,尼日尔,8781,0,8461,12,0,96.4%,0,308,3.5%,0,1
56,乍得,7267,0,4874,2203,0,67.1%,0,190,2.6%,0,1
57,萨尔瓦多,156364,0,132410,19853,-5,84.7%,0,4101,2.6%,5,1
58,尼加拉瓜,18203,0,4225,13756,0,23.2%,0,222,1.2%,0,1
59,斐济,64081,14,62237,1010,-5,97.1%,19,834,1.3%,0,1
60,毛里求斯,34356,500,30778,2644,100,89.6%,400,934,2.7%,0,1
61,赞比亚,315202,0,309765,1477,0,98.3%,0,3960,1.3%,0,1
62,吉布提,15568,1,15362,17,1,98.7%,0,189,1.2%,0,1
63,吉尔吉斯斯坦,200758,11,195916,1868,-12,97.6%,23,2974,1.5%,0,1
64,巴巴多斯,57102,101,55548,1228,-183,97.3%,283,326,0.6%,1,1
65,黑山,231613,69,228147,773,-33,98.5%,101,2693,1.2%,1,1
66,冈比亚,11973,10,11591,17,2,96.8%,8,365,3.0%,0,1
67,格陵兰岛,11879,0,2761,9098,0,23.2%,0,20,0.2%,0,1
68,贝宁,26575,0,25506,906,0,96.0%,0,163,0.6%,0,1
69,索马里,26400,0,13182,11870,0,49.9%,0,1348,5.1%,0,1
70,坦桑尼亚,33726,0,183,32743,0,0.5%,0,800,2.4%,0,1
71,利比里亚,7397,0,5747,1356,0,77.7%,0,294,4.0%,0,1
72,圭亚那合作共和国,63147,17,61722,200,8,97.7%,9,1225,1.9%,0,1
73,马约特,36745,0,2964,33594,0,8.1%,0,187,0.5%,0,1
74,巴哈马,33198,0,32112,313,0,96.7%,0,773,2.3%,0,1
75,乌兹别克斯坦,237281,22,234720,924,-37,98.9%,59,1637,0.7%,0,1
76,瓜德罗普,130705,0,2250,127612,0,1.7%,0,843,0.6%,0,1
77,开曼群岛,19433,0,8553,10863,0,44.0%,0,17,0.1%,0,1
78,刚果（布）,24049,0,20178,3493,0,83.9%,0,378,1.6%,0,1
79,中非共和国,14320,0,6859,7348,0,47.9%,0,113,0.8%,0,1
80,塞舌尔,39605,0,39212,230,0,99.0%,0,163,0.4%,0,1
81,赤道几内亚,15898,0,15679,36,0,98.6%,0,183,1.2%,0,1
82,纳米比亚,157438,72,153069,355,72,97.2%,0,4014,2.5%,0,1
83,卢旺达,129602,5,45522,82622,5,35.1%,0,1458,1.1%,0,1
84,斯威士兰,69459,6,68042,25,-41,98.0%,47,1392,2.0%,0,1
85,毛里塔尼亚,58659,1,57659,19,0,98.3%,1,981,1.7%,0,1
86,阿鲁巴,33796,0,33522,62,0,99.2%,0,212,0.6%,0,1
87,钻石公主号邮轮,712,0,699,0,0,98.2%,0,13,1.8%,0,1
88,苏里南,78793,9,49367,28105,8,62.7%,1,1321,1.7%,0,1
