id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,82008407,84824,79303394,1496696,96.7%,1208317,1.5%
2,欧洲,73733177,329084,64956310,7360943,88.1%,1415924,1.9%
3,非洲,8734973,6038,8128362,382946,93.1%,223665,2.6%
4,大洋洲,369318,1394,329012,36089,89.1%,4217,1.1%
5,北美洲,59122453,207595,47693046,10235348,80.7%,1194059,2.0%
6,南美洲,38987246,12942,37071363,733834,95.1%,1182049,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
