id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127947,5697,119276,451,14,2,1638201600,133,0,40,0,8,1,10191,117747,22,102,22,102,2974,87,1
2,oversea,262956312,5228244,237482199,None,None,None,1638201600,684021,None,584533,8419,None,None,None,None,None,None,None,None,20245869,91069,None
