id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127515,5697,118752,489,29,4,1637424000,52,2,103,0,11,-1,10028,117484,31,18,31,18,3066,-43,1
2,oversea,257717982,5162808,232658253,None,None,None,1637424000,427280,None,365196,7219,None,None,None,None,None,None,None,None,19896921,54865,None
