id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,1,0,0,100.0%,0,0,0.0%,0,1
2,韩国,733902,7005,600251,127111,5355,81.8%,1622,6540,0.9%,28,1
3,帕劳共和国,383,175,38,345,162,9.9%,13,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,18,5,3,15,5,16.7%,0,0,0.0%,0,1
7,瓦努阿图共和国,7,0,6,0,0,85.7%,0,1,14.3%,0,1
8,马尔维纳斯群岛,85,0,68,17,0,80.0%,0,0,0.0%,0,1
9,马绍尔群岛,7,0,7,0,0,100.0%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
11,所罗门群岛,289,120,20,269,120,6.9%,0,0,0.0%,0,1
12,莱索托,32049,0,20990,10369,0,65.5%,0,690,2.2%,0,1
13,科摩罗,7811,8,7535,117,-26,96.5%,34,159,2.0%,0,1
14,塔吉克斯坦,17154,23,16971,59,18,98.9%,5,124,0.7%,0,1
15,海峡群岛,38232,280,35051,3055,161,91.7%,117,126,0.3%,2,1
16,阿拉伯联合酋长国,825699,3020,768343,55142,1683,93.1%,1333,2214,0.3%,4,1
17,也门,10485,0,7051,1439,0,67.2%,0,1995,19.0%,0,1
18,圣皮埃尔,681,22,457,224,-7,67.1%,29,0,0.0%,0,1
19,圣多美和普林西比,5816,18,4884,864,-115,84.0%,133,68,1.2%,0,1
20,南苏丹,16673,26,12934,3602,26,77.6%,0,137,0.8%,0,1
21,马拉维,83765,162,67680,13566,-32,80.8%,189,2519,3.0%,5,1
22,布隆迪,36868,0,773,36057,0,2.1%,0,38,0.1%,0,1
23,塞拉利昂,7584,5,4393,3066,5,57.9%,0,125,1.6%,0,1
24,博茨瓦纳,243946,0,235030,6372,0,96.3%,0,2544,1.0%,0,1
25,百慕大,9766,0,7768,1886,0,79.5%,0,112,1.1%,0,1
26,英属维尔京群岛,5602,0,2649,2906,0,47.3%,0,47,0.8%,0,1
27,安圭拉,2187,0,1997,183,0,91.3%,0,7,0.3%,0,1
28,格林纳达,11303,230,8732,2366,-99,77.3%,329,205,1.8%,0,1
29,圣基茨和尼维斯,5254,40,4547,679,-46,86.5%,86,28,0.5%,0,1
30,特克斯和凯科斯群岛,5524,82,4864,627,-60,88.1%,141,33,0.6%,1,1
31,几内亚比绍,7211,9,6387,671,-4,88.6%,13,153,2.1%,0,1
32,马里,29597,71,25233,3660,-81,85.3%,152,704,2.4%,0,1
33,利比亚,405425,0,388096,11408,0,95.7%,0,5921,1.5%,0,1
34,老挝,129953,612,7660,121767,606,5.9%,0,526,0.4%,6,1
35,伯利兹,45753,794,35674,9463,179,78.0%,611,616,1.3%,4,1
36,缅甸,533959,83,512063,2587,-56,95.9%,138,19309,3.6%,1,1
37,多米尼克,8421,72,7606,766,34,90.3%,37,49,0.6%,1,1
38,莫桑比克,222415,543,199542,20720,-913,89.7%,1453,2153,1.0%,3,1
39,叙利亚,50943,40,35948,12030,-193,70.6%,230,2965,5.8%,3,1
40,马恩岛,14126,0,13755,301,0,97.4%,0,70,0.5%,0,1
41,巴布亚新几内亚,36446,0,35798,52,0,98.2%,0,596,1.6%,0,1
42,厄立特里亚,9250,0,8655,504,0,93.6%,0,91,1.0%,0,1
43,乌干达,160146,692,99054,57627,643,61.9%,38,3465,2.2%,11,1
44,安哥拉,95902,456,87151,6865,-201,90.9%,654,1886,2.0%,3,1
45,东帝汶,19868,0,19731,15,0,99.3%,0,122,0.6%,0,1
46,新喀里多尼亚,15195,0,12947,1966,0,85.2%,0,282,1.9%,0,1
47,马达加斯加,57375,0,52012,4140,0,90.7%,0,1223,2.1%,0,1
48,津巴布韦,228179,266,212993,9894,-630,93.3%,888,5292,2.3%,8,1
49,佛得角,55256,287,53142,1727,-174,96.2%,458,387,0.7%,3,1
50,蒙特塞拉特,155,0,132,22,0,85.2%,0,1,0.6%,0,1
51,海地,28352,0,24251,3318,0,85.5%,0,783,2.8%,0,1
52,尼日尔,8542,0,7599,648,0,89.0%,0,295,3.5%,0,1
53,乍得,6887,0,4874,1828,0,70.8%,0,185,2.7%,0,1
54,萨尔瓦多,127012,3435,117753,5408,2424,92.7%,1011,3851,3.0%,0,1
55,尼加拉瓜,17604,0,4225,13164,0,24.0%,0,215,1.2%,0,1
56,斐济,60931,0,56281,3882,0,92.4%,0,768,1.3%,0,1
57,毛里求斯,25159,84,24235,162,-12,96.3%,96,762,3.0%,0,1
58,赞比亚,301203,616,289167,8146,-910,96.0%,1521,3890,1.3%,5,1
59,吉布提,15271,50,14723,359,50,96.4%,0,189,1.2%,0,1
60,吉尔吉斯斯坦,195394,791,182928,9617,322,93.6%,466,2849,1.5%,3,1
61,巴巴多斯,38586,549,31511,6801,418,81.7%,130,274,0.7%,1,1
62,黑山,212144,2425,199632,10005,-1029,94.1%,3443,2507,1.2%,11,1
63,冈比亚,11572,0,10156,1069,0,87.8%,0,347,3.0%,0,1
64,格陵兰岛,9485,151,2761,6720,151,29.1%,0,4,0.0%,0,1
65,贝宁,26309,0,25506,640,0,96.9%,0,163,0.6%,0,1
66,索马里,24322,0,13182,9805,0,54.2%,0,1335,5.5%,0,1
67,坦桑尼亚,32393,0,183,31457,0,0.6%,0,753,2.3%,0,1
68,利比里亚,7208,0,5747,1173,0,79.7%,0,288,4.0%,0,1
69,圭亚那合作共和国,56585,892,42212,13243,529,74.6%,352,1130,2.0%,11,1
70,马约特,35691,502,2964,32540,501,8.3%,0,187,0.5%,1,1
71,巴哈马,31999,222,23624,7646,141,73.8%,81,729,2.3%,0,1
72,乌兹别克斯坦,213767,1390,203275,8952,483,95.1%,903,1540,0.7%,4,1
73,瓜德罗普,94765,0,2250,91753,0,2.4%,0,762,0.8%,0,1
74,开曼群岛,11666,0,8093,3558,0,69.4%,0,15,0.1%,0,1
75,刚果（布）,23380,136,18993,4016,136,81.2%,0,371,1.6%,0,1
76,中非共和国,13611,0,6859,6643,0,50.4%,0,109,0.8%,0,1
