id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,128141,5697,119347,449,24,5,1638374400,119,3,33,0,10,3,10227,117914,16,103,16,103,3097,86,1
2,oversea,264299697,5243675,238342905,None,None,None,1638374400,690489,None,510311,8377,None,None,None,None,None,None,None,None,20713117,171801,None
