id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,82171986,86084,79467958,1493302,96.7%,1210726,1.5%
2,欧洲,74529714,418330,65391170,7714698,87.7%,1423846,1.9%
3,非洲,8764754,12830,8140631,400144,92.9%,223979,2.6%
4,大洋洲,373761,2694,331502,38015,88.7%,4244,1.1%
5,北美洲,59428558,145259,47896124,10334373,80.6%,1198061,2.0%
6,南美洲,39030212,19838,37114821,732585,95.1%,1182806,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
