id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127405,5697,118508,499,26,2,1637164800,31,0,56,0,14,-2,9964,117441,16,15,16,15,3200,-25,1
2,oversea,256188593,5140882,231406870,None,None,None,1637164800,648569,None,514526,9008,None,None,None,None,None,None,None,None,19640841,125035,None
