id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,89168705,581126,83758322,4146639,93.9%,1263744,1.4%
2,欧洲,102442181,1258350,80506424,20367507,78.6%,1568250,1.5%
3,非洲,10425455,54487,9220015,971697,88.4%,233743,2.2%
4,大洋洲,1707522,134154,606862,1095788,35.5%,4872,0.3%
5,北美洲,77599638,970098,52429274,23897312,67.6%,1273052,1.6%
6,南美洲,42609629,345077,38631972,2780274,90.7%,1197383,2.8%
7,其他,712,0,699,0,98.2%,13,1.8%
