id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,228292,6479,134764,1097,144,11,1645977600,29601,9,776,331,19,-2,14464,195753,125,11401,87049,10670,1
2,oversea,437385179,5971916,369189900,None,None,None,1645977600,1046670,None,1494188,4379,None,None,None,None,None,None,62223363,-451897,None
