id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,109321789,497755,101457042,6546570,92.8%,1318177,1.2%
2,欧洲,146415803,896271,116511709,28233947,79.6%,1670147,1.1%
3,非洲,11377614,11941,10367579,764500,91.1%,245535,2.2%
4,大洋洲,3207947,31172,2925021,275708,91.2%,7218,0.2%
5,北美洲,93478735,232765,62531405,29576500,66.9%,1370830,1.5%
6,南美洲,52421453,162268,45262576,5918070,86.3%,1240807,2.4%
7,其他,712,0,699,0,98.2%,13,1.8%
