id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,154235,5788,131814,681,46,4,1645372800,3830,4,312,12,12,2,13551,140611,79,3678,16633,3433,1
2,oversea,426477992,5905207,353692394,None,None,None,1645372800,1187243,None,1799478,5348,None,None,None,None,None,None,66880391,-617583,None
