id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,81274571,79736,78549580,1528263,96.6%,1196728,1.5%
2,欧洲,70764427,287072,62866009,6514945,88.8%,1383473,2.0%
3,非洲,8664376,4234,8046234,395867,92.9%,222275,2.6%
4,大洋洲,355960,7323,305654,46197,85.9%,4109,1.2%
5,北美洲,58370380,39370,47044924,10141954,80.6%,1183502,2.0%
6,南美洲,38831227,13137,36921608,730991,95.1%,1178628,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
