id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,100378996,684644,92730765,6361547,92.4%,1286684,1.3%
2,欧洲,125790044,1131699,94777485,29395567,75.3%,1616992,1.3%
3,非洲,11024074,20561,9840886,943586,89.3%,239602,2.2%
4,大洋洲,2767824,2706,2402685,358921,86.8%,6218,0.2%
5,北美洲,89220959,134956,57215366,30684844,64.1%,1320749,1.5%
6,南美洲,48645676,220080,41858819,5571156,86.0%,1215701,2.5%
7,其他,712,0,699,0,98.2%,13,1.8%
