id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,138753,5700,126220,814,32,0,1643558400,187,0,146,0,10,0,12604,126149,39,148,6833,41,1
2,oversea,377828285,5685959,298826705,None,None,None,1643558400,2165080,None,2171125,5911,None,None,None,None,None,None,73315621,-11956,None
