id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,117373403,577102,108039165,7988866,92.0%,1345372,1.1%
2,欧洲,157149622,578709,135404152,20032420,86.2%,1713050,1.1%
3,非洲,11542623,6238,10653826,639154,92.3%,249643,2.2%
4,大洋洲,3647725,45210,3240506,399345,88.8%,7874,0.2%
5,北美洲,94980462,107610,66231496,27342827,69.7%,1406139,1.5%
6,南美洲,54318674,44165,48192880,4867227,88.7%,1258567,2.3%
7,其他,712,0,699,0,98.2%,13,1.8%
