id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,248838,6657,135431,1209,169,9,1646064000,38621,4,667,424,19,0,14617,213882,153,18129,106750,17369,1
2,oversea,439013221,5980658,371762724,None,None,None,1646064000,1359034,None,2408916,7889,None,None,None,None,None,None,61269839,-1057771,None
