id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,142377,5703,128320,832,66,0,1644422400,531,0,464,1,5,1,12892,129406,45,407,8354,-13,1
2,oversea,406421333,5803330,326570893,None,None,None,1644422400,2516407,None,2753501,13157,None,None,None,None,None,None,74047110,-250251,None
