id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127648,5697,119060,449,18,4,1637769600,46,2,119,0,8,0,10091,117540,9,20,9,20,2891,-40,1
2,oversea,260376625,5197325,235344904,None,None,None,1637769600,692314,None,459930,8746,None,None,None,None,None,None,None,None,19834396,223638,None
