id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,133587,5699,121505,661,52,1,1641484800,283,1,151,0,27,-3,11555,121985,64,172,6383,85,1
2,oversea,303802168,5493225,258255281,None,None,None,1641484800,2647797,None,749584,7611,None,None,None,None,None,None,40053662,1890602,None
