id,date,confirmed,cured,died,curConfirm,curConfirmRelative
1,2022-11-02,247888633,224563873,5018471,18306289,410576
2,2022-11-03,248333898,225009181,5026485,18298232,445265
3,2022-11-04,248913733,225470373,5035241,18408119,579835
4,2022-11-05,249448509,225858431,5043301,18546777,534776
5,2022-11-06,249946113,226238152,5051858,18656103,497604
6,2022-11-07,250313991,226573223,5057411,18683357,367878
7,2022-11-08,250641121,226857447,5061991,18721683,327130
8,2022-11-09,251120690,227344492,5069266,18706932,479569
9,2022-11-10,251664402,227812362,5078301,18773739,543712
10,2022-11-11,252250194,228254584,5086774,18908836,585792
11,2022-11-12,252767345,228633007,5093700,19040638,517151
12,2022-11-13,253302585,229080204,5102530,19119851,535240
13,2022-11-14,253715115,229413953,5108048,19193114,412530
14,2022-11-15,254104672,229738664,5112822,19253186,389557
15,2022-11-16,254673339,230225867,5120466,19327006,568667
16,2022-11-17,255222595,230686337,5128547,19407711,549256
17,2022-11-18,255871164,231200863,5137555,19532746,648569
18,2022-11-19,256446383,231626972,5145598,19673813,575219
19,2022-11-20,257055411,232083898,5153585,19817928,609028
20,2022-11-21,257482691,232449094,5160804,19872793,427280
21,2022-11-22,257913276,233450615,5165653,19297008,430585
22,2022-11-23,258522292,233960379,5173292,19388621,609016
23,2022-11-24,259174401,234474954,5181988,19517459,652109
24,2022-11-25,259866715,234934884,5190734,19741097,692314
25,2022-11-26,260460899,235363000,5197815,19900084,594184
26,2022-11-27,261001346,235780749,5204590,20016007,540447
27,2022-11-28,261421820,236130204,5210070,20081546,420474
28,2022-11-29,261837085,236477164,5214767,20145154,415265
29,2022-11-30,262521106,237061697,5223186,20236223,684021
30,2022-12-01,263191680,237622707,5231932,20337041,670574
31,2022-12-02,263882169,238133018,5240309,20508842,690489
32,2022-12-03,264587987,238541067,5248246,20798674,705818
33,2022-12-04,265294318,239051894,5256334,20986090,706331
34,2022-12-05,265740074,239436646,5261055,21042373,445756
35,2022-12-06,266192002,239800800,5268503,21122699,451928
36,2022-12-07,266821937,240415662,5276410,21129865,629935
37,2022-12-08,267507097,240919484,5285274,21302339,685160
38,2022-12-09,268191859,241377364,5293215,21521280,684762
39,2022-12-10,268884062,241928217,5301645,21654200,692203
40,2022-12-11,269481103,242429223,5309618,21742262,597041
41,2022-12-12,270024936,242794772,5314830,21915334,543833
42,2022-12-13,270521927,243235103,5319453,21967371,496991
43,2022-12-14,271139273,243805283,5326463,22007527,617346
44,2022-12-15,271809547,244365389,5335121,22109037,670274
45,2022-12-16,272522357,244924198,5343220,22254939,712810
46,2022-12-17,273298338,245500399,5350882,22447057,775981
47,2022-12-18,273990260,245988005,5358286,22643969,691922
48,2022-12-19,274545218,246379827,5363282,22802109,554958
49,2022-12-20,275026924,246810179,5367235,22849510,481706
50,2022-12-21,275837299,247588226,5374522,22874551,810375
51,2022-12-22,276736494,248153010,5383095,23200389,899195
52,2022-12-23,277561556,248791503,5391080,23378973,825062
53,2022-12-24,278557702,249338728,5398059,23820915,996146
54,2022-12-25,279363255,249756467,5406190,24200598,805553
55,2022-12-26,279823684,250099946,5409519,24314219,460429
56,2022-12-27,280326732,250442285,5413396,24471051,503048
57,2022-12-28,281942189,251371955,5420349,25149885,1615457
58,2022-12-29,283323209,251969677,5428614,25924918,1381020
59,2022-12-30,285014678,252695001,5436122,26883555,1691469
60,2022-12-31,287017547,253290479,5443455,28283613,2002869
