id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,132115,5699,120825,514,38,1,1640880000,335,1,69,0,15,0,11139,120932,56,235,5591,222,1
2,oversea,288540893,5449593,253746356,None,None,None,1640880000,2002869,None,595478,7333,None,None,None,None,None,None,29344944,1400058,None
