id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,133843,5699,121653,675,46,2,1641571200,303,2,148,0,26,-1,11628,122142,73,157,6491,82,1
2,oversea,306041969,5497965,258929704,None,None,None,1641571200,2908754,None,711214,7358,None,None,None,None,None,None,41614300,2190182,None
