id,date,curConfirm,confirmed,cured,died,curConfirmRelative,overseasInputRelative
1,2021-12-26,4527,130858,120491,5699,233,38
2,2021-12-27,4663,131093,120583,5699,235,27
3,2021-12-28,4841,131315,120640,5699,222,45
4,2021-12-29,4990,131550,120701,5699,235,51
5,2021-12-30,5186,131586,120701,5699,174,51
6,2021-12-31,5364,131821,120758,5699,198,28
7,2022-01-01,5591,132115,120825,5699,222,56
8,2022-01-02,5754,132350,120897,5699,163,60
9,2022-01-03,5861,132504,120944,5699,126,60
10,2022-01-04,6040,132726,120987,5699,162,67
11,2022-01-05,6132,132883,121052,5699,73,50
12,2022-01-06,6156,133107,121252,5699,33,57
13,2022-01-07,6320,133373,121354,5699,139,58
14,2022-01-08,6383,133587,121505,5699,85,64
15,2022-01-09,6491,133843,121653,5699,82,73
16,2022-01-10,6552,134090,121839,5699,47,60
17,2022-01-11,6607,134295,121989,5699,80,82
18,2022-01-12,6641,134540,122200,5699,96,55
19,2022-01-13,6822,134940,122418,5700,80,66
20,2022-01-14,6847,135206,122659,5700,55,58
21,2022-01-15,6854,135370,122816,5700,78,61
22,2022-01-16,6969,135621,122952,5700,63,54
23,2022-01-17,6981,135850,123169,5700,64,60
24,2022-01-18,7062,136089,123327,5700,81,44
25,2022-01-19,7028,136248,123520,5700,-34,32
26,2022-01-20,6904,136375,123771,5700,-124,23
27,2022-01-21,6908,136597,123989,5700,-82,50
28,2022-01-22,6768,136653,124185,5700,-54,40
29,2022-01-23,6943,137052,124409,5700,-25,37
30,2022-01-24,6787,137150,124663,5700,-8,39
31,2022-01-25,6748,137324,124876,5700,-47,27
32,2022-01-26,6748,137518,125070,5700,-38,20
33,2022-01-27,6737,137727,125290,5700,15,37
34,2022-01-28,6871,138050,125479,5700,126,25
35,2022-01-29,6842,138244,125702,5700,-13,22
36,2022-01-30,6846,138450,125904,5700,6,27
37,2022-01-31,6847,138621,126074,5700,8,18
38,2022-02-01,6833,138753,126220,5700,41,39
39,2022-02-02,6869,138960,126391,5700,36,27
40,2022-02-03,6982,139193,126511,5700,55,18
41,2022-02-04,7031,139393,126662,5700,34,17
42,2022-02-05,7187,139714,126827,5700,155,18
43,2022-02-06,7406,140108,127002,5700,193,30
44,2022-02-07,7477,140411,127234,5700,67,34
45,2022-02-08,7720,140888,127468,5700,280,40
