id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,105458365,601537,97633316,6520885,92.6%,1304164,1.2%
2,欧洲,138419902,1217886,106336662,30437830,76.8%,1645410,1.2%
3,非洲,11256880,15617,10169240,844761,90.3%,242879,2.2%
4,大洋洲,3023584,33371,2736759,280021,90.5%,6804,0.2%
5,北美洲,92060282,394388,60405960,30305442,65.6%,1348880,1.5%
6,南美洲,50939496,129900,43635414,6074715,85.7%,1229367,2.4%
7,其他,712,0,699,0,98.2%,13,1.8%
