id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,83143545,72807,80404375,1509899,96.7%,1229271,1.5%
2,欧洲,78856013,278853,69112454,8272765,87.6%,1470794,1.9%
3,非洲,9091572,23444,8291808,574057,91.2%,225707,2.5%
4,大洋洲,396479,2097,352612,39495,88.9%,4372,1.1%
5,北美洲,60950608,224981,48845107,10889442,80.1%,1216059,2.0%
6,南美洲,39235047,15164,37278264,769642,95.0%,1187141,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
