id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,83615836,63717,80913796,1465412,96.8%,1236628,1.5%
2,欧洲,81160281,302215,71137355,8530346,87.7%,1492580,1.8%
3,非洲,9309549,28832,8412512,670401,90.4%,226636,2.4%
4,大洋洲,420735,4132,366679,49643,87.2%,4413,1.0%
5,北美洲,61950897,80937,49372753,11353251,79.7%,1224893,2.0%
6,南美洲,39331344,10957,37350176,792025,95.0%,1189143,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
