id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,127336,5697,118393,500,15,4,1636992000,39,2,89,0,18,-2,9919,117412,23,11,23,11,3246,-42,1
2,oversea,255011790,5124988,230544309,None,None,None,1636992000,568667,None,487203,7644,None,None,None,None,None,None,None,None,19342493,73820,None
