id,area,asymptomatic,asymptomaticRelative,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedRelative,died,diedRelative,icuDisable,nativeRelative,overseasInputRelative
1,西藏,0,0,1,0,1,0,0,0,0,0,1,0,0
2,澳门,0,0,82,0,79,3,0,0,0,0,1,0,0
3,青海,0,0,31,1,30,1,1,0,0,0,1,1,0
4,台湾,0,0,21163,164,13742,6568,164,0,853,0,1,0,0
5,香港,0,0,246135,7478,25365,217620,6318,879,3150,281,1,0,0
6,贵州,0,0,162,0,160,0,0,0,2,0,1,0,0
7,吉林,523,148,1146,112,589,554,112,0,3,0,1,111,1
8,新疆,0,0,996,0,993,0,0,0,3,0,1,0,0
9,宁夏,0,0,122,0,122,0,0,0,0,0,1,0,0
10,内蒙古,1,0,1664,2,1541,122,-26,28,1,0,1,2,0
11,甘肃,15,4,524,47,366,156,47,0,2,0,1,26,21
12,天津,16,4,1213,24,1122,88,16,8,3,0,1,18,6
13,山西,0,0,295,0,268,27,0,0,0,0,1,0,0
14,辽宁,63,2,1044,4,900,142,-5,9,2,0,1,4,0
15,黑龙江,69,4,2108,10,2060,35,7,3,13,0,1,8,2
16,海南,2,0,193,0,184,3,0,0,6,0,1,0,0
17,河北,23,16,1552,16,1469,76,16,0,7,0,1,16,0
18,陕西,0,0,2889,18,2823,63,18,0,3,0,1,18,0
19,云南,273,27,1998,6,1897,99,2,4,2,0,1,5,1
20,广西,227,17,1246,9,955,289,0,9,2,0,1,0,9
21,福建,26,2,1591,1,1501,89,-3,4,1,0,1,0,1
22,上海,548,74,4720,43,4067,646,26,17,7,0,1,11,32
23,北京,189,7,1604,21,1414,181,12,9,9,0,1,6,15
24,江苏,54,13,1866,36,1732,134,26,10,0,0,1,36,0
25,四川,76,9,1545,6,1394,148,3,3,3,0,1,0,6
26,山东,849,367,1629,165,1103,519,163,2,7,0,1,165,0
27,江西,0,0,959,0,958,0,0,0,1,0,1,0,0
28,重庆,14,0,626,2,608,12,2,0,6,0,1,0,2
29,安徽,4,0,1015,2,1003,6,2,0,6,0,1,0,2
30,湖南,1,1,1235,0,1227,4,0,0,4,0,1,0,0
31,河南,91,18,2703,4,2641,40,4,0,22,0,1,1,3
32,广东,1055,200,5621,63,4090,1523,39,24,8,0,1,12,51
33,浙江,221,4,2322,23,2059,262,23,0,1,0,1,21,2
34,湖北,28,7,68384,4,63818,54,-6,10,4512,0,1,0,4
