id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
1,汤加王国,1,0,1,0,0,100.0%,0,0,0.0%,0,1
2,韩国,696032,4190,584537,105162,2158,84.0%,2003,6333,0.9%,29,1
3,帕劳共和国,119,8,19,100,8,16.0%,0,0,0.0%,0,1
4,圣赫勒拿,2,0,2,0,0,100.0%,0,0,0.0%,0,1
5,密克罗尼西亚,1,0,1,0,0,100.0%,0,0,0.0%,0,1
6,萨摩亚独立国,3,0,3,0,0,100.0%,0,0,0.0%,0,1
7,瓦努阿图共和国,7,0,6,0,0,85.7%,0,1,14.3%,0,1
8,马尔维纳斯群岛,85,0,68,17,0,80.0%,0,0,0.0%,0,1
9,马绍尔群岛,7,0,4,3,0,57.1%,0,0,0.0%,0,1
10,瓦利斯和富图纳群岛,454,0,438,9,0,96.5%,0,7,1.5%,0,1
11,所罗门群岛,25,0,20,5,0,80.0%,0,0,0.0%,0,1
12,莱索托,31734,0,19915,11132,0,62.8%,0,687,2.2%,0,1
13,科摩罗,7756,11,6980,617,0,90.0%,192,159,2.1%,0,1
14,塔吉克斯坦,17095,0,16966,5,0,99.2%,0,124,0.7%,0,1
15,海峡群岛,35903,0,31548,4233,0,87.9%,0,122,0.3%,0,1
16,阿拉伯联合酋长国,805248,3067,760268,42789,2009,94.4%,1055,2191,0.3%,3,1
17,也门,10252,34,7045,1217,32,68.7%,0,1990,19.4%,2,1
18,圣皮埃尔,415,0,217,198,0,52.3%,0,0,0.0%,0,1
19,圣多美和普林西比,5525,0,4054,1405,0,73.4%,0,66,1.2%,0,1
20,南苏丹,16489,35,12934,3419,35,78.4%,0,136,0.8%,0,1
21,马拉维,82719,244,65138,15115,0,78.7%,394,2466,3.0%,6,1
22,布隆迪,36257,0,773,35446,0,2.1%,0,38,0.1%,0,1
23,塞拉利昂,7542,29,4393,3024,29,58.2%,0,125,1.7%,0,1
24,博茨瓦纳,237678,0,226828,8336,0,95.4%,0,2514,1.1%,0,1
25,百慕大,8541,0,6549,1882,0,76.7%,0,110,1.3%,0,1
26,英属维尔京群岛,5255,0,2649,2564,0,50.4%,0,42,0.8%,0,1
27,安圭拉,2109,0,1913,189,0,90.7%,0,7,0.3%,0,1
28,格林纳达,9701,166,6114,3384,134,63.0%,32,203,2.1%,0,1
29,圣基茨和尼维斯,4933,51,3596,1309,0,72.9%,102,28,0.6%,0,1
30,特克斯和凯科斯群岛,5025,69,4150,845,29,82.6%,40,30,0.6%,0,1
31,几内亚比绍,7004,42,6337,515,26,90.5%,14,152,2.2%,2,1
32,马里,28585,341,23944,3950,0,83.8%,575,691,2.4%,5,1
33,利比亚,397319,867,384473,7005,0,96.8%,870,5841,1.5%,13,1
34,老挝,124731,538,7660,116576,531,6.1%,0,495,0.4%,7,1
35,伯利兹,40612,0,32429,7575,0,79.9%,0,608,1.5%,0,1
36,缅甸,533144,170,511211,2631,60,95.9%,108,19302,3.6%,2,1
37,多米尼克,7957,135,7262,647,42,91.3%,93,48,0.6%,0,1
38,莫桑比克,219081,976,180990,35964,0,82.6%,1310,2127,1.0%,6,1
39,叙利亚,50710,33,34597,13166,0,68.2%,200,2947,5.8%,3,1
40,马恩岛,14126,0,13755,301,0,97.4%,0,70,0.5%,0,1
41,巴布亚新几内亚,36435,0,35786,53,0,98.2%,0,596,1.6%,0,1
42,厄立特里亚,8910,0,8326,497,0,93.4%,0,87,1.0%,0,1
43,乌干达,158238,484,98921,55906,443,62.5%,24,3411,2.2%,17,1
44,安哥拉,93694,222,83256,8575,0,88.9%,494,1863,2.0%,5,1
45,东帝汶,19863,2,19715,26,2,99.3%,0,122,0.6%,0,1
46,新喀里多尼亚,13536,0,12610,645,0,93.2%,0,281,2.1%,0,1
47,马达加斯加,55138,1037,50381,3588,0,91.4%,2103,1169,2.1%,52,1
48,津巴布韦,226078,297,207102,13729,0,91.6%,1095,5247,2.3%,5,1
49,佛得角,53987,203,50172,3443,0,92.9%,493,372,0.7%,3,1
50,蒙特塞拉特,139,10,74,64,0,53.2%,13,1,0.7%,0,1
51,海地,27082,0,23891,2411,0,88.2%,0,780,2.9%,0,1
52,尼日尔,8386,19,7328,766,17,87.4%,1,292,3.5%,1,1
53,乍得,6556,0,4874,1497,0,74.3%,0,185,2.8%,0,1
54,萨尔瓦多,123577,0,116742,3001,0,94.5%,0,3834,3.1%,0,1
55,尼加拉瓜,17563,0,4225,13124,0,24.1%,0,214,1.2%,0,1
56,斐济,59418,0,52896,5792,0,89.0%,0,730,1.2%,0,1
57,毛里求斯,24850,243,22635,1453,192,91.1%,51,762,3.1%,0,1
58,赞比亚,296132,1104,275975,16297,0,93.2%,3658,3860,1.3%,8,1
