id,content,count
1,疫情,519
2,防控,204
3,工作,146
4,核酸检测,133
5,人员,133
6,吉林,124
7,核酸,100
8,检测,96
9,西安,93
10,医院,87
11,时间,83
12,上海,81
13,吉林省,77
14,新冠肺炎,77
15,小区,72
16,报告,72
17,本土,72
18,确诊病例,70
19,市民,70
20,抗疫,69
21,社区,66
22,情况,64
23,隔离,64
24,小时,60
25,新增,60
26,记者,59
27,公司,58
28,管控,57
29,中心,56
30,传播,56
31,发现,56
32,生活,54
33,保障,53
34,医疗,53
35,阳性,53
36,措施,52
37,相关,52
38,通知,52
39,候诊,52
40,防疫,51
41,指挥部,50
42,做好,50
43,风险,49
44,加油,49
45,市,48
46,筛查,47
47,感染者,46
48,病毒,45
49,服务,45
50,管理,43
51,全市,42
52,机构,41
53,2022年,40
54,西安市,40
55,发布,40
56,企业,40
57,发生,39
58,群众,38
59,地区,38
60,居家,38
61,App,37
62,部门,36
63,形势,36
64,配合,35
65,无症状感染者,35
66,买,35
67,落实,34
68,新闻,34
69,48,34
70,深圳,34
71,健康,33
72,吉林市,33
73,中国,32
74,证明,32
75,送,32
76,确诊,31
77,确保,31
78,口罩,31
79,学生,31
80,期间,31
81,孩子,31
82,介绍,30
83,结束,30
84,长春,30
85,志愿者,30
86,采样,30
87,人民,30
88,乘坐,29
89,地铁,29
90,影响,29
91,关注,29
92,沈阳市,29
93,培训,29
94,抗原,28
95,全省,28
96,参加,27
97,就医,27
98,物资,27
99,大学,27
100,活动,26
101,居民,26
102,考试,26
103,气温,26
104,增加,26
105,消费,26
106,交通,25
107,超市,25
108,办公室,25
109,查验,25
110,患者,25
111,岁,25
112,组织,25
113,份,25
114,吴明,25
115,华商报,25
116,主任,24
117,辽宁,24
118,境外输入,24
119,公共,23
120,信息,23
121,累计,23
122,病例,23
123,供应,23
124,会议,23
125,提供,23
126,城市,23
127,号,23
128,暂停,23
129,发展,23
130,心理,23
131,轮,22
132,责任,22
133,人群,22
134,主动,22
135,轻型,22
136,社会,22
137,调查,22
138,学校,22
139,医护,22
140,需求,22
141,全员,22
142,显示,22
143,经济,22
144,平台,22
145,电话,21
146,热线,21
147,提醒,21
148,国家,21
149,咸阳,21
150,稳定,21
151,市场,21
152,近期,21
153,国际,21
154,工作人员,21
155,朋友,21
156,四,20
157,阴性,20
158,卫生,20
159,感染,20
160,大白,20
161,北京,20
162,全国,20
163,外出,20
164,症状,20
165,传染病,20
166,希望,20
167,浑南区,20
168,关系,20
169,现场,19
170,居住,19
171,行程,19
172,安排,19
173,清零,19
174,发布会,19
175,公交,19
176,调整,19
177,切实,19
178,新冠病毒,19
179,天津市,19
180,采集,19
181,流调,18
182,村,18
183,报备,18
184,接到,18
185,场所,18
186,收到,18
187,持续,18
188,社会面,18
189,24时,18
190,治疗,18
191,冠状,18
192,减少,18
193,聚集,18
194,疾控,18
195,呈,18
196,一线,18
197,实行,18
198,区域,18
199,艾迪逊,18
