id,date,confirmed,unconfirmed,cured,died,curConfirmRelative,unconfirmedRelative,cureRelative,diedRelative,overseasInput,overseasInputRelative
1,2022-01-17,136089,8,123327,5700,239,3,158,0,12168,44
2,2022-01-18,136248,11,123520,5700,159,5,193,0,12200,32
3,2022-01-19,136375,10,123771,5700,127,3,251,0,12223,23
4,2022-01-20,136511,5,123989,5700,136,1,218,0,12273,50
5,2022-01-21,136653,4,124185,5700,142,0,196,0,12313,40
6,2022-01-22,136852,7,124409,5700,199,3,224,0,12350,37
7,2022-01-23,137098,7,124663,5700,246,1,254,0,12389,39
8,2022-01-24,137264,6,124876,5700,166,0,213,0,12416,27
9,2022-01-25,137420,3,125070,5700,156,0,194,0,12436,20
10,2022-01-26,137655,0,125290,5700,235,0,220,0,12473,37
11,2022-01-27,137970,3,125479,5700,315,3,189,0,12498,25
12,2022-01-28,138180,1,125702,5700,210,0,223,0,12520,22
13,2022-01-29,138388,1,125904,5700,208,1,202,0,12547,27
14,2022-01-30,138566,4,126074,5700,178,3,170,0,12565,18
15,2022-01-31,138753,0,126220,5700,187,0,146,0,12604,39
16,2022-02-01,138960,0,126391,5700,207,0,171,0,12631,27
17,2022-02-02,139135,0,126511,5700,175,0,120,0,12649,18
18,2022-02-03,139320,4,126662,5700,185,4,151,0,12666,17
19,2022-02-04,139640,2,126827,5700,320,0,165,0,12684,18
20,2022-02-05,140008,2,127002,5700,368,1,175,0,12714,30
21,2022-02-06,140307,1,127234,5700,299,1,232,0,12748,34
22,2022-02-07,140821,0,127468,5700,514,0,234,0,12788,40
23,2022-02-08,141128,0,127639,5700,307,0,171,0,12825,37
24,2022-02-09,141846,1,127856,5702,718,1,217,2,12847,22
25,2022-02-10,142298,0,128320,5703,452,0,464,1,12892,45
26,2022-02-11,142980,1,128649,5703,682,1,329,0,12951,59
27,2022-02-12,143243,0,128901,5706,263,0,252,3,12990,39
28,2022-02-13,143706,2,128984,5706,463,2,83,0,13048,58
29,2022-02-14,145288,3,129644,5708,1582,2,660,2,13088,40
30,2022-02-15,146040,1,129958,5712,752,0,314,4,13144,56
31,2022-02-16,146980,3,130287,5715,940,3,329,3,13201,57
32,2022-02-17,147593,6,130585,5726,613,6,298,11,13248,47
33,2022-02-18,149205,4,130914,5746,1612,4,329,11,13305,57
34,2022-02-19,149851,0,131233,5764,646,0,319,18,13399,94
35,2022-02-20,150405,3,131502,5776,554,3,269,12,13472,73
36,2022-02-21,154162,4,131814,5788,3757,4,312,12,13551,79
37,2022-02-22,157074,3,132159,5824,2912,2,345,36,13666,115
38,2022-02-23,161154,0,132482,5873,4080,0,323,49,13767,101
39,2022-02-24,163972,7,132807,5913,2818,7,325,40,13909,142
40,2022-02-25,168129,4,133169,5986,4157,0,362,73,14065,156
41,2022-02-26,173931,9,133544,6066,5802,7,375,80,14192,127
42,2022-02-27,198691,6,133993,6148,24760,5,449,82,14339,147
43,2022-02-28,210217,11,134764,6233,11526,9,771,85,14464,125
44,2022-03-01,228499,9,135431,6479,18282,4,667,246,14617,153
45,2022-03-02,249048,9,136140,6657,20549,5,709,178,14777,160
46,2022-03-03,269138,7,136788,6855,20090,4,648,198,15010,233
47,2022-03-04,300851,11,137402,7043,31713,5,614,188,15189,179
48,2022-03-05,319225,9,138250,7263,18374,2,848,220,15343,154
49,2022-03-06,338496,13,139056,7496,19271,4,806,233,15456,113
50,2022-03-07,344585,12,139554,7776,6089,5,498,280,15606,150
51,2022-03-08,359739,22,140513,8067,15154,15,959,291,15710,104
52,2022-03-09,372123,12,141446,8358,12384,10,933,291,15836,126
53,2022-03-10,380238,7,142466,8639,8115,3,1020,281,15994,158
54,2022-03-11,385997,8,143494,8933,5759,5,1028,294,16106,112
55,2022-03-12,391716,4,144623,9218,5719,0,1129,285,16237,131
56,2022-03-13,397659,5,145499,9482,5943,1,876,264,16337,100
57,2022-03-14,405360,6,146023,9768,7701,2,524,286,16432,95
58,2022-03-15,410827,6,147084,10057,5467,1,1061,289,16524,92
59,2022-03-16,415480,14,148389,10336,4653,8,1305,279,16615,91
60,2022-03-17,420134,19,149838,10625,4654,6,1449,289,16688,73
