id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,121861973,371568,110474123,10031694,90.7%,1356156,1.1%
2,欧洲,161564972,334262,142050933,17784578,87.9%,1729461,1.1%
3,非洲,11589675,3684,10751469,586946,92.8%,251260,2.2%
4,大洋洲,3999918,68613,3475440,516350,86.9%,8128,0.2%
5,北美洲,95438091,77310,67908817,26110473,71.2%,1418801,1.5%
6,南美洲,54887159,35678,49378050,4244687,90.0%,1264422,2.3%
7,其他,712,0,699,0,98.2%,13,1.8%
