id,date,confirmed,cured,died,curConfirm,curConfirmRelative
1,2021-10-24,244185900,221212953,4956758,18016189,361372
2,2021-10-25,244492477,221490033,4961263,18041181,306577
3,2021-10-26,244889124,221977691,4968554,17942879,396647
4,2021-10-27,245413119,222426705,4977923,18008491,523995
5,2021-10-28,245885738,222803929,4986493,18095316,472619
6,2021-10-29,246396773,223221760,4994313,18180700,511035
7,2021-10-30,246876926,223606254,5002896,18267776,480153
8,2021-10-31,247152654,223865780,5007667,18279207,275728
9,2021-11-01,247478057,224134173,5011998,18331886,325403
10,2021-11-02,247888633,224563873,5018471,18306289,410576
11,2021-11-03,248333898,225009181,5026485,18298232,445265
12,2021-11-04,248913733,225470373,5035241,18408119,579835
13,2021-11-05,249448509,225858431,5043301,18546777,534776
14,2021-11-06,249946113,226238152,5051858,18656103,497604
15,2021-11-07,250313991,226573223,5057411,18683357,367878
16,2021-11-08,250641121,226857447,5061991,18721683,327130
17,2021-11-09,251120690,227344492,5069266,18706932,479569
18,2021-11-10,251664402,227812362,5078301,18773739,543712
19,2021-11-11,252250194,228254584,5086774,18908836,585792
20,2021-11-12,252767345,228633007,5093700,19040638,517151
21,2021-11-13,253302585,229080204,5102530,19119851,535240
22,2021-11-14,253715115,229413953,5108048,19193114,412530
23,2021-11-15,254104672,229738664,5112822,19253186,389557
24,2021-11-16,254673339,230225867,5120466,19327006,568667
25,2021-11-17,255222595,230686337,5128547,19407711,549256
26,2021-11-18,255871164,231200863,5137555,19532746,648569
27,2021-11-19,256446383,231626972,5145598,19673813,575219
28,2021-11-20,257055411,232083898,5153585,19817928,609028
29,2021-11-21,257482691,232449094,5160804,19872793,427280
30,2021-11-22,257913276,233450615,5165653,19297008,430585
31,2021-11-23,258522292,233960379,5173292,19388621,609016
32,2021-11-24,259174401,234474954,5181988,19517459,652109
33,2021-11-25,259866715,234934884,5190734,19741097,692314
34,2021-11-26,260460899,235363000,5197815,19900084,594184
35,2021-11-27,261001346,235780749,5204590,20016007,540447
36,2021-11-28,261421820,236130204,5210070,20081546,420474
37,2021-11-29,261837085,236477164,5214767,20145154,415265
38,2021-11-30,262521106,237061697,5223186,20236223,684021
39,2021-12-01,263191680,237622707,5231932,20337041,670574
40,2021-12-02,263882169,238133018,5240309,20508842,690489
41,2021-12-03,264587987,238541067,5248246,20798674,705818
42,2021-12-04,265294318,239051894,5256334,20986090,706331
43,2021-12-05,265740074,239436646,5261055,21042373,445756
44,2021-12-06,266192002,239800800,5268503,21122699,451928
45,2021-12-07,266821937,240415662,5276410,21129865,629935
46,2021-12-08,267507097,240919484,5285274,21302339,685160
47,2021-12-09,268191859,241377364,5293215,21521280,684762
48,2021-12-10,268884062,241928217,5301645,21654200,692203
49,2021-12-11,269481103,242429223,5309618,21742262,597041
50,2021-12-12,270024936,242794772,5314830,21915334,543833
51,2021-12-13,270521927,243235103,5319453,21967371,496991
52,2021-12-14,271139273,243805283,5326463,22007527,617346
53,2021-12-15,271809547,244365389,5335121,22109037,670274
54,2021-12-16,272522357,244924198,5343220,22254939,712810
55,2021-12-17,273298338,245500399,5350882,22447057,775981
56,2021-12-18,273990260,245988005,5358286,22643969,691922
57,2021-12-19,274545218,246379827,5363282,22802109,554958
58,2021-12-20,275026924,246810179,5367235,22849510,481706
59,2021-12-21,275837299,247588226,5374522,22874551,810375
60,2021-12-22,276736494,248153010,5383095,23200389,899195
