id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,130155,5699,120188,496,19,3,1640102400,167,0,49,0,10,3,10761,119348,29,92,29,92,4268,79,1
2,oversea,277530867,5390907,248759477,None,None,None,1640102400,899195,None,564784,8573,None,None,None,None,None,None,None,None,23380483,325838,None
