id,area,confirmed,died,cured,asymptomatic,asymptomaticRelative,unconfirmed,relativeTime,confirmedRelative,unconfirmedRelative,curedRelative,diedRelative,icu,icuRelative,overseasInput,unOverseasInputCumulative,overseasInputRelative,unOverseasInputNewAdd,curConfirm,curConfirmRelative,icuDisable
1,china,131329,5699,120640,496,15,3,1640620800,236,2,57,0,14,2,11004,120311,45,177,4990,165,1
2,oversea,283098935,5425666,251788486,None,None,None,1640620800,1615457,None,929670,6953,None,None,None,None,None,None,25884783,678834,None
