id,area,confirmed,confirmedRelative,crued,curConfirm,curedPercent,died,diedPercent
1,亚洲,84195597,81513,81504731,1445202,96.8%,1245664,1.5%
2,欧洲,84904247,822482,73774136,9614148,86.9%,1515963,1.8%
3,非洲,9646411,34613,8609052,809115,89.2%,228244,2.4%
4,大洋洲,504142,11297,385271,114398,76.4%,4473,0.9%
5,北美洲,64265771,627952,50051246,12974775,77.9%,1239750,1.9%
6,南美洲,39567466,37945,37438725,937553,94.6%,1191188,3.0%
7,其他,712,0,699,0,98.2%,13,1.8%
